DateTime,Entries,UniqueIPs
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,0,0
1438136187,11,23296
1438136187,11,23296
1438136187,11,23296
1440631768,10,23040
1440631768,10,23040
1451465577,23,26880
1454025634,10,23040
1456617637,8,22528
1457913920,9,22784
1459215119,8,22528
1469759141,9,22784
1496154684,13,22784
1498709715,9,22784
1506621513,10,23040
1509242222,16,23552
1511913666,12,23552
1514507841,11,23552
1517223854,12,23808
1519685203,14,25088
1525042003,14,25088
1527721309,14,25088
1527721309,14,25088
1527721309,14,25088
1527721309,14,25088
1527721309,14,25088
1527721309,14,25088
1530232714,13,24832
1537947468,12,24576
1540940373,13,24832
1551310831,12,24320
1556577911,13,24832
1559170675,12,20736
1574934812,11,20480
1577748902,13,21760
1580422703,12,21504
1585610296,13,21760
1590623862,12,21504
1594682835,13,21760
1596061956,13,22016
1598571048,14,22272
1601420904,13,22016
1604015514,14,22272
1609370978,13,22016
1614293348,14,22272
1617143476,13,22016
1619736557,12,21760
1627601515,13,22016
1632958565,13,21504
