DateTime,AddedIPs,RemovedIPs
1525140264,157153,1344
1527232111,0,0
1527320464,0,0
1527843386,56346,2623
1527931297,0,0
1528279714,0,0
1530458411,39108,7727
1533162751,80677,4287
1535777784,130519,4320
1538394026,166709,5586
1541098348,51580,10319
1543626984,43715,6413
1546373570,47103,6367
1548988116,47338,7588
1551427946,32765,10685
1554128914,43011,6101
1554825867,7422,1219
1555523309,15625,1994
1555610455,2405,392
1555697553,1844,344
1555784670,1881,368
1555871790,1928,393
1555958916,1324,332
1556046029,2511,365
1556133149,1652,434
1556220273,2800,326
1556786669,14079,2696
1556873809,1666,308
1556960930,1209,342
1557048054,1443,345
1557135153,1492,320
1557222287,1940,329
1557309393,1423,151
1557396531,2188,604
1557483630,1748,600
1557570753,1186,423
1557657874,1360,879
1557744987,1639,324
1557832133,1320,302
1557919226,1088,303
1558006354,1888,399
1558093476,1764,401
1558180613,1532,388
1558267733,1572,411
1558354863,1594,348
1558441956,2042,477
1558529075,2001,334
1558616188,1832,251
1558703330,1536,409
1558790429,1697,468
1558877580,1797,540
1558964670,1554,306
1559051788,1574,577
1559138937,1261,580
1559226070,2407,615
1559313152,2586,366
1559400274,2265,994
1559487389,1537,523
1559574511,1517,294
1559661656,1458,307
1559748779,2298,445
1559835871,1391,401
1559922987,1295,359
1560010111,3639,448
1560097231,1838,507
1560184363,1626,3566
1560271479,1548,387
1560358598,1420,422
1560445963,2270,600
1560533079,1484,408
1560620200,2523,327
1560707342,1522,358
1560794443,1452,351
1560881580,2025,330
1561055789,10357,5677
1561142913,2163,1853
1561230040,1633,716
1561317150,3275,119
1561404277,2303,147
1561491636,1986,151
1561578790,1957,158
1561665871,1606,796
1561753014,1856,154
1561840116,1449,149
1561927232,1564,522
1562014373,1818,1375
1562101473,1773,715
1562188594,1468,512
1562275713,1274,257
1562362836,1543,707
1562449959,1426,615
1562537081,1889,493
1562624198,1887,953
1562713023,1852,172
1562800116,1580,168
1562887233,1561,183
1562974373,2133,506
1563061476,1625,834
1563148605,1331,159
1563235726,1822,378
1563322829,1584,2164
1563409971,1399,432
1563497096,1042,485
1563584208,1471,475
1563671311,1479,395
1563758445,1426,658
1563845554,1589,464
1563932670,1658,387
1564063732,3065,1040
1564150828,1543,175
1564237977,1886,453
1564325073,1327,439
1564412194,1341,578
1564499333,1270,414
1564586436,1425,448
1564673580,1214,767
1564760679,1498,476
1564847808,1276,405
1564934929,1445,428
1565022056,1655,426
1565109172,1500,552
1565196273,1693,461
1565283393,1652,536
1565370532,1519,446
1565457631,1578,461
1565544777,1341,552
1565631889,1642,495
1565719010,1342,528
1565806133,1140,549
