DateTime,Entries,UniqueIPs
1501265567,1271,12756740
1501265567,1271,12756740
1504253298,1278,12764420
1506799075,1292,12769028
1508182070,1331,12818180
1509467312,1329,12821764
1512154111,1325,12778884
1512382529,1324,12776836
1512587767,1322,12776324
1513735352,1329,12731780
1514232665,1332,12714372
1514740232,1331,12714368
1517744260,1334,12719232
1520232318,1341,12725630
1522700598,1341,12724606
1527797429,1388,13041790
1527797429,1388,13041790
1527797429,1388,13041790
1527797429,1388,13041790
1527797429,1388,13041790
1527797429,1388,13041790
1530465980,1390,13041022
1534488359,1408,13072772
1536380194,1424,13075909
1538978535,1427,13076165
1541269057,1435,13079221
1543863959,1446,13084595
1547013462,1462,13156291
1549004188,1473,13165027
1554382672,1520,13189165
1557019900,1529,13188397
1559762851,1554,13195334
1562138967,1570,13195626
1565255384,1697,13199606
1567420589,1732,13190922
1570643530,1781,13201530
1575217103,1925,13232383
1579151621,2007,13229419
1583209613,2060,13226120
1588500640,2146,13231788
1593575456,2153,13235007
1596296602,2197,13215187
1598977283,2262,13210640
1601504707,2333,13208091
1604583414,2379,13191538
1612116925,2647,13161561
1617290701,2701,13102488
1619802999,2672,13083440
1623258690,2691,13072517
1625678593,2737,13061239
1627920218,2722,12991229
1633673922,2742,13009700
1638291762,2781,13003074
1641059362,2802,13005389
1643732326,2862,13010637
1647802318,2883,12995231
1673338586,3269,13002585
