DateTime,Entries,UniqueIPs
1501265567,49693,1562956271
1501265567,49693,1562956271
1501586652,49756,1562936137
1504253298,49964,1562299972
1504504992,50000,1562285122
1506799075,50329,1561083978
1508182070,51545,1560957151
1509467312,51760,1560983974
1512154111,52225,1563070329
1512382529,52305,1563053177
1512587767,52341,1563022775
1513735352,52553,1562960128
1514232665,51864,1562394149
1514740232,51346,1562287201
1517744260,54065,1561384346
1520232318,53394,1560711664
1522700598,54340,1560162805
1527797429,55773,1552255949
1527797429,55773,1552255949
1527797429,55773,1552255949
1527797429,55773,1552255949
1527797429,55773,1552255949
1527797429,55773,1552255949
1530465980,55138,1551623321
1534488359,57385,1549514557
1536380194,58186,1548561084
1538978535,58686,1547958129
1541269057,57859,1546803302
1543863959,58353,1546036237
1547013462,59733,1545242030
1549004188,60237,1544591848
1554382672,61813,1543621630
1557019900,62684,1542718746
1559762851,64155,1541024551
1562138967,63772,1540497760
1565255384,64904,1539927614
1567420589,65850,1538781921
1570643530,67923,1538151145
1575217103,72819,1542074178
1579151621,74853,1541446331
1583209613,76326,1541283246
1588500640,79161,1538619800
1593575456,80713,1538074980
1596296602,82659,1537950213
1598977283,85146,1537154186
1601504707,86410,1536033856
1604583414,87852,1534025146
1612116925,89865,1533977343
1617290701,92288,1532944610
1619802999,92866,1531410294
1623258690,93934,1531019026
1625678593,94698,1531839261
1627920218,95397,1534698869
1633673922,97478,1530230089
1638291762,99759,1528797602
1641059362,101052,1529054901
1643732326,101756,1528251369
1647802318,103055,1527234952
1673338586,115138,1511184293
