DateTime,Entries,UniqueIPs
1485345932,1568,1568
1485349532,1540,1540
1485353132,1529,1529
1485356732,1607,1607
1485360332,1631,1631
1485363932,1647,1647
1485367532,1643,1643
1485371132,1622,1622
1485374733,1598,1598
1485378333,1558,1558
1485381933,1541,1541
1485385533,1533,1533
1485389133,1512,1512
1485392733,1506,1506
1485396333,1502,1502
1485399934,1486,1486
1485403534,1478,1478
1485407135,1474,1474
1485410735,1453,1453
1485414337,1437,1437
1485417937,1409,1409
1485421536,1374,1374
1485425136,1344,1344
1485428736,1331,1331
1485432336,1294,1294
1485435937,1275,1275
1485439537,1230,1230
1485443137,1196,1196
1485446737,1182,1182
1485450337,1181,1181
1485453937,1162,1162
1485457537,1135,1135
1485461137,1120,1120
1485464737,1088,1088
1485468337,1083,1083
1485471937,1061,1061
1485475538,1046,1046
1485479138,1034,1034
1485482739,1019,1019
1485486339,1003,1003
1485489939,987,987
1485493539,978,978
1485497139,956,956
1485500740,938,938
1485504340,926,926
1485507940,891,891
1485511540,858,858
1485515140,844,844
1485518740,833,833
1485522340,824,824
1485525940,815,815
1485529540,720,720
1485533140,657,657
1485536740,628,628
1485540341,622,622
1485543941,623,623
1485547541,630,630
1485551141,629,629
1485554741,633,633
1485558355,631,631
1485561955,637,637
1485565555,633,633
1485569155,620,620
1485572755,623,623
1485576355,624,624
1485579955,626,626
1485583555,627,627
1485587155,623,623
1485590754,619,619
1485594354,613,613
1485597954,615,615
1485601554,632,632
1485605155,709,709
1485608755,758,758
1485612355,800,800
1485615955,834,834
1485619555,830,830
1485623155,817,817
1485626754,801,801
1485630355,795,795
1485633954,788,788
1485637554,788,788
1485641154,798,798
1485644754,800,800
1485648354,797,797
1485651958,804,804
1485655555,800,800
1485659155,806,806
1485662755,807,807
1485666355,804,804
1485669955,805,805
1485673555,816,816
1485677156,816,816
1485680756,820,820
1485684356,799,799
1485687956,792,792
1485691556,791,791
1485695157,809,809
1485698758,818,818
1485702357,822,822
1485705958,827,827
1485709558,818,818
1485713158,818,818
1485716758,811,811
1485720359,805,805
1485723959,803,803
1485727559,795,795
1485731159,793,793
1485734759,790,790
1485738359,790,790
1485741960,795,795
1485745560,802,802
1485749160,801,801
1485752759,799,799
1485756359,797,797
1485759959,799,799
1485763559,794,794
1485767159,799,799
1485770760,796,796
1485774364,771,771
1485777964,688,688
1485781564,630,630
1485785164,591,591
1485788764,553,553
1485792364,557,557
1485795965,559,559
1485799565,574,574
1485803165,574,574
1485806765,573,573
1485810364,580,580
