DateTime,AddedIPs,RemovedIPs
1435231094,109,0
1436306063,0,165
1436529616,141,0
1437254909,0,235
1437824707,140,160
1439208016,164,152
1439581509,0,366
1439641106,366,0
1440506174,160,148
1441882814,140,150
1443182435,190,142
1444481130,211,181
1445775523,169,209
1447153218,223,166
1448447246,215,201
1449749354,223,202
1451041759,199,225
1452428319,188,205
1453728968,279,180
1455114969,276,264
1456405217,286,278
1457615053,369,260
1458907453,310,391
1460289139,250,319
1461588068,196,291
1462879695,109,181
1464169469,181,126
1465560969,168,156
1466850738,287,149
1468154412,199,272
1469442973,227,227
1470819378,195,231
1472123337,207,218
1473500180,215,211
1474291454,0,0
1506802130,453,362
1507625532,177,241
1508934015,177,175
1510315459,158,209
1511612664,289,123
1513721772,261,239
1513751539,239,261
1513781529,261,239
1514990406,255,296
1516199539,175,295
1517407696,273,173
1518763696,279,245
1519972325,158,300
1521182165,278,148
1522392255,338,263
1523602570,303,305
1524120488,0,0
1524813130,313,292
1525994898,0,0
1526469375,209,333
1527280811,0,0
1527296448,0,0
1527311792,0,0
1527326908,0,0
1527342036,0,0
1527357391,0,0
1527373243,0,0
1527388589,0,0
1527682331,276,241
1527902651,0,0
1527919250,0,0
1527934598,0,0
1527949472,0,0
1527964115,0,0
1527978991,0,0
1527994352,0,0
1528302008,0,0
1528318792,0,0
1528892889,293,281
1529950326,258,271
1532409611,281,264
1533615615,341,248
1534941603,297,329
1535692576,238,310
1536914890,236,266
1538154251,252,251
1539362170,248,235
1540570329,252,215
1542353284,263,253
1543337528,288,270
1544457636,318,295
1545767530,251,320
1547149209,199,222
1548444732,297,217
1549824487,276,286
1551117616,290,247
1552247766,293,284
1553552404,294,303
1554930263,253,268
1556235607,227,283
1557525846,225,221
1558833129,189,218
1560212646,186,181
1561517526,148,176
1562809217,177,143
1564114087,184,174
1565493618,230,191
1566739931,165,231
