DateTime,AddedIPs,RemovedIPs
1527990212,0,0
1527991416,125,0
1527992591,0,0
1527993838,0,0
1527995079,0,0
1527996238,0,0
1527997485,0,0
1527998631,0,125
1527999887,125,0
1528001098,0,0
1528003406,136,91
1528004879,0,0
1528089158,87,130
1528175570,124,101
1528261988,107,115
1528308300,0,0
1528311731,0,0
1528313600,0,0
1528320519,0,0
1528324436,0,0
1528326797,0,0
1528331850,0,0
1528333316,0,0
1528348382,120,102
1528434820,100,122
1528521182,115,103
1528607596,144,108
1528693967,133,145
1528780357,116,130
1528866750,134,117
1528953213,106,141
1529039574,186,116
1529125951,105,182
1529212620,112,100
1529298770,88,122
1529385149,128,84
1529471545,109,125
1529558215,121,111
1529644359,146,115
1529730650,121,152
1529817164,127,122
1529903804,141,127
1529989962,64,149
1530076379,205,66
1530162764,163,181
1530249178,145,172
1530335586,139,148
1530421978,135,142
1530508371,118,143
1530594793,131,117
1530681174,170,115
1530767567,107,175
1530853991,113,113
1530940657,152,106
1531199588,201,150
1531977486,153,217
1532063649,95,121
1532150251,74,119
1532236631,162,74
1532322811,171,156
1532409159,97,180
1532495802,134,100
1532581980,193,118
1532668358,120,192
1532754631,135,130
1532841167,134,122
1532927565,127,145
1533014011,119,120
1533100368,84,125
1533187084,69,79
1533273159,142,79
1533359630,148,129
1533446225,107,150
1533532351,94,111
1533618782,75,101
1533792285,149,70
1533877986,101,147
1533964381,98,111
1534051043,103,95
1534137203,120,104
1534151389,0,0
1534223554,97,117
1534309975,135,89
1534396393,98,134
1534482797,84,114
1534569392,120,82
1534917110,139,107
1535001188,103,149
1535087593,104,101
1535260383,108,106
1535346788,106,114
1535433280,119,102
1535519584,100,109
1535605996,120,97
1535692618,179,125
1535778792,107,176
1535865432,115,103
1535951811,154,124
1536038001,129,143
1536124240,126,126
1536210766,118,118
1536297181,134,137
1536383553,144,131
1536470241,126,149
1536556415,129,129
1536642809,175,127
1536729412,136,167
1536815816,135,143
1536901958,125,142
1537074751,186,115
1537247825,190,178
1537593140,51,211
1537852381,227,39
1537938749,110,201
1538025413,119,137
1538111564,80,115
1538197998,165,76
1538284600,69,166
1538371019,142,81
1538457179,75,144
1538543597,128,58
1538630234,109,129
1538716389,82,122
1538803025,89,83
1538889171,143,84
1538975830,147,133
1539062208,74,163
1539148616,151,64
1539234762,111,150
1539321403,85,123
1539407564,111,81
1539494219,105,100
1539580362,84,112
1539666779,138,89
1539753168,91,138
1539839593,144,91
1539925993,128,145
1540012358,92,126
1540098785,84,91
1540185421,109,92
