DateTime,AddedIPs,RemovedIPs
1527991417,0,0
1527992592,0,0
1527993838,0,0
1527995080,0,0
1527996239,0,0
1527997486,0,224
1527998633,0,0
1527999887,224,0
1528001100,0,0
1528002245,0,224
1528003407,469,264
1528004880,0,0
1528089159,425,454
1528175570,481,436
1528261989,471,474
1528308301,0,0
1528311731,0,0
1528313600,0,0
1528320520,0,0
1528324437,0,0
1528326798,0,0
1528331850,0,0
1528333316,0,0
1528348383,474,466
1528434821,399,473
1528521183,456,397
1528607597,494,451
1528693968,1097,490
1528780358,1455,928
1528866751,1502,1358
1528953214,2543,1408
1529039575,1811,2504
1529125952,2142,1864
1529212621,1592,2158
1529298771,1219,1617
1529385149,1150,1296
1529471546,779,1236
1529558216,715,809
1529644359,1601,740
1529730650,2348,1482
1529817165,2387,2158
1529903804,2153,2299
1529989962,1402,2336
1530076380,4386,1442
1530162764,5387,3548
1530249179,11308,5006
1530335587,7554,11230
1530421978,3111,7887
1530508372,1463,3506
1530594794,1498,1659
1530681175,1791,1476
1530767567,1362,1761
1530853992,1382,1354
1530940657,1489,1432
1531199588,4716,1442
1531977487,1147,5037
1532063650,1486,1036
1532150252,1092,1485
1532236632,1020,1146
1532322812,1053,1006
1532409160,1135,1091
1532495803,1570,1108
1532581981,1499,1526
1532668359,1409,1460
1532754632,1239,1409
1532841167,976,1263
1532927565,1004,1052
1533014012,1103,1018
1533100369,1528,1073
1533187085,1467,1424
1533273159,1226,1469
1533359631,1409,1278
1533446226,1270,1398
1533532352,2872,1331
1533618783,1126,2887
1533792286,1062,1179
1533877986,1046,1067
1533964381,1173,1033
1534051043,1175,1158
1534137204,922,1193
1534151390,0,0
1534223554,946,946
1534309975,979,931
1534396393,957,971
1534482798,906,966
1534569393,876,890
1534917111,1039,927
1535001189,1025,1002
1535087593,1025,1044
1535260384,1053,1071
1535346789,992,964
1535433281,1069,1002
1535519585,1050,1033
1535605997,1142,1057
1535692619,1194,1161
1535778793,1132,1208
1535865433,1303,1151
1535951811,1119,1223
1536038001,1768,1103
1536124241,1323,1617
1536210766,1247,1365
1536297181,970,1278
1536383554,1021,1015
1536470242,1010,1052
1536556415,1009,1025
1536642810,956,1008
1536729413,935,1018
1536815817,1274,928
1536901959,1010,1027
1537074751,1144,1267
1537247825,1177,1069
1537593140,551,1325
1537852382,1939,448
1537938750,822,1805
1538025414,777,899
1538111565,803,761
1538197999,852,832
1538284600,555,946
1538371019,880,577
1538457180,833,809
1538543598,805,772
1538630235,747,819
1538716390,777,747
1538803025,844,765
1538889171,787,875
1538975830,726,765
1539062209,758,730
1539148617,821,741
1539234763,835,812
1539321404,838,834
1539407564,691,777
1539494219,718,755
1539580363,744,705
1539666779,718,741
1539753169,792,764
1539839593,970,796
1539925993,969,931
1540012358,825,972
1540098786,730,837
1540185421,747,727
1540271827,919,721
1540358548,1207,894
1540444360,779,1195
1540530782,699,783
1540617426,784,709
1540703586,560,974
1540789997,566,659
1540876371,969,478
1540963034,741,764
1541310759,861,853
1541394760,699,717
1541481171,645,715
1541567823,740,667
1541653959,755,728
1541740394,929,806
1541826782,855,921
1541913175,951,855
1541999809,983,944
1542085993,875,973
1542172618,880,874
1542259011,916,909
1542345160,1052,932
1542431570,1064,1081
1542517945,849,983
1542604381,749,815
1542691021,821,803
1542777184,799,858
1542863548,831,768
1542949966,907,835
1543036612,798,807
1543123020,803,874
1543209198,768,830
1543295826,848,829
1543382000,820,810
1543468416,746,802
1543555012,695,693
1543641414,749,718
1543727580,757,721
1543814266,688,760
1543900633,661,742
1543987024,709,668
1544073425,667,755
1544159576,778,673
1544245996,1156,715
1544332609,1074,1019
1544419031,975,1111
1544505187,868,1074
1544591601,1421,900
1544677970,1262,1283
1544764370,1005,1291
1544850787,998,1017
1544937186,1023,1018
1545023584,1054,1011
1545110238,991,1071
1545196375,963,1017
1545283026,1292,937
1545369426,992,1322
1545455560,947,1013
1545541956,1402,912
1545628347,1594,1353
1545714787,1331,1486
1545801434,957,1291
1545887557,916,1053
1545973965,1075,949
1546060448,933,1093
1546147060,951,972
1546233582,812,959
1546319604,744,865
1546405957,793,776
1546492351,773,755
1546579016,849,774
1546665183,886,816
1546751565,952,891
1546837955,970,937
1546924381,959,911
1547010785,770,1069
1547097158,654,792
1547183586,752,647
1547269969,725,749
1547356397,780,736
1547443070,847,782
1547529159,790,846
1547615559,750,779
1547701977,657,732
1547788383,615,648
1547874764,631,643
1547961151,635,628
1548047562,643,637
1548133991,680,636
1548220360,696,699
1548306765,682,701
1548393160,698,701
1548479572,708,679
1548565978,679,731
1548652346,480,792
1548738749,319,756
1548825199,362,321
1548911576,345,351
1548997956,315,357
1549084617,344,315
1549170759,318,327
1549257171,290,329
1549343582,355,292
1549429827,317,350
1549516376,329,310
1549602764,284,343
1549689155,327,288
1549862723,334,336
1549948346,311,330
1550034754,311,302
1550121154,298,311
1550207570,286,302
1550293984,297,291
1550380356,355,298
1550466768,494,356
1550553149,534,496
1550639592,453,527
1550725987,437,452
1550812376,463,434
1550899052,395,457
1550985179,337,402
1551071580,336,339
1551157971,381,335
1551244370,360,382
1551330761,344,356
1551417169,305,341
1551503575,315,308
1551590225,308,314
1551676381,291,319
1551762756,310,287
1551849167,273,310
1551935560,303,273
1552021959,318,297
1552108361,389,315
1552194753,445,388
1552281156,421,449
1552453952,321,429
1552540411,344,311
1552626757,307,338
1552972353,283,321
1553058769,375,277
1553145170,348,371
1553231564,349,342
1553317970,305,358
1553404372,332,309
1553491033,340,326
1553577159,391,344
1553663580,375,389
1553749965,374,381
