DateTime,AddedIPs,RemovedIPs
1459436712,8,11
1459451111,5,8
1459465511,6,11
1459479911,8,17
1459494312,7,19
1459508712,11,11
1459523111,9,9
1459537511,9,13
1459551912,8,13
1459566311,11,11
1459580710,8,6
1459595110,14,7
1459609511,15,5
1459623910,7,7
1459638315,10,8
1459652717,9,9
1459667110,3,11
1459681511,10,8
1459695910,10,8
1459710311,9,10
1459724711,18,7
1459739115,9,13
1459753511,7,16
1459767911,11,8
1459782310,20,12
1459796711,15,8
1459811111,14,3
1459825510,12,8
1459839912,6,8
1459854312,11,12
1459868713,12,18
1459883111,13,6
1459897511,17,9
1459911915,9,12
1459926311,9,15
1459940711,7,20
1459955110,11,11
1459969511,13,17
1459983910,6,3
1459998316,10,12
1460012712,15,11
1460027112,10,15
1460041516,17,15
1460055911,10,12
1460070311,12,6
1460084711,15,10
1460099111,8,11
1460113511,13,11
1460127911,11,6
1460142310,12,10
1460156710,15,15
1460171109,13,12
1460185512,9,12
1460199910,8,13
1460214311,9,12
1460228710,11,15
1460243110,13,9
1460257511,25,11
1460271912,8,15
1460286311,16,11
1460300711,17,9
1460315111,14,16
1460329510,9,8
1460343914,5,10
1460358311,10,10
1460372710,12,12
1460387110,5,11
1460401511,6,21
1460415910,12,13
1460430310,17,14
1460444711,24,15
1460459111,14,15
1460473511,4,13
1460487911,4,6
1460502310,10,8
1460516710,9,11
1460531111,14,5
1460545510,14,9
1460559908,10,7
1460574311,14,18
1460588711,17,24
1460603111,12,16
1460617510,21,5
1460631910,21,5
1460646313,14,8
1460660709,6,9
1460675111,9,11
1460689511,17,17
1460703911,17,9
1460718310,10,13
1460732711,10,15
1460747110,2,15
1460761510,12,23
1460775910,21,16
1460790311,22,18
1460804711,16,4
1460819111,10,11
1460833512,12,14
1460847911,8,18
1460862311,19,11
1460876710,14,11
1460891111,15,4
1460905511,11,9
1460919911,19,21
1460934310,18,21
1460948710,15,18
1460963110,18,6
1460977511,26,16
1460991909,22,9
1461006309,15,17
1461020710,13,16
1461035110,15,14
1461049510,10,11
1461063911,10,18
1461078311,18,15
1461092710,11,17
1461107113,16,18
1461121509,13,26
1461135911,18,23
1461161110,22,23
1461175514,8,18
1461189912,14,10
1461204310,10,10
1461218711,14,16
1461233115,15,12
1461247512,36,15
1461261911,45,15
1461276311,44,16
1461290710,36,11
1461305111,19,15
1461319512,25,9
1461333910,21,13
1461348310,23,12
1461362711,22,12
1461377115,23,16
1461391512,18,21
1461405912,11,57
1461420311,19,38
1461434711,16,40
1461449110,10,23
1461463511,15,22
1461477911,19,21
1461492314,15,19
1461506710,14,25
1461521111,18,25
1461535510,13,20
1461549910,9,8
1461564311,14,19
1461578711,8,20
1461593111,14,9
1461607511,5,15
1461621911,8,14
1461636311,18,20
1461650711,14,14
1461665111,11,18
1461679513,16,11
1461693911,8,11
1461708310,20,12
1461722710,12,12
1461737111,17,13
1461751512,10,6
1461765910,11,7
1461780310,10,12
1461794710,13,19
1461809111,13,13
1461823511,13,10
1461837912,15,15
1461852311,13,12
1461866709,13,16
1461881114,14,19
1461895513,16,10
1461909911,11,11
1461924312,9,9
1461938712,17,13
1461953111,21,13
1461967522,16,13
1461981943,15,15
1461996316,21,12
1462010715,20,13
1462025111,11,14
1462039518,18,16
1462053924,12,9
1462068323,15,12
1462082712,14,14
1462097111,20,24
1462111513,19,16
1462125912,10,15
1462140313,13,19
1462154719,16,21
1462169111,15,13
1462183511,13,16
1462197947,12,10
1462212312,15,15
1462226711,22,15
1462241116,12,19
1462255511,20,23
1462269912,15,11
1462284315,13,13
1462298711,9,14
1462313116,7,14
1462327515,10,12
1462341911,8,17
1462356312,19,11
1462370711,13,19
1462385115,11,16
1462399510,9,18
1462413911,11,15
1462428313,14,12
1462442712,8,13
1462457112,18,9
1462471511,11,10
1462485911,14,8
1462500313,15,13
1462514711,15,16
1462529111,7,11
1462543513,5,7
1462557911,5,13
1462572311,9,16
1462586713,12,9
1462601112,13,15
1462615512,6,10
1462629912,12,16
1462644310,14,12
1462658710,20,17
1462673111,28,7
1462687511,32,6
1462701911,12,6
1462716312,21,7
1462730712,7,13
1462745112,11,12
1462759511,15,6
1462773912,13,12
1462788311,13,14
1462802710,9,17
1462817138,10,25
1462831529,16,33
1462845924,11,17
1462860322,18,17
1462874728,13,12
1462889145,21,13
1462903521,16,9
1462917910,7,18
1462932310,5,10
1462946711,13,12
1462961111,7,9
1462975511,14,15
1462989911,14,12
1463004311,13,16
1463018711,23,14
1463033111,17,18
1463047512,23,17
1463061914,17,10
1463076315,25,7
1463090711,19,11
1463105110,21,6
1463119509,21,11
1463133911,27,17
1463148310,17,11
1463162710,15,24
1463177110,18,15
1463191510,17,20
1463205910,14,23
1463220310,23,19
1463234710,14,21
1463249110,6,19
1463263511,11,25
1463277910,18,24
1463292311,13,22
1463306711,17,12
1463321110,16,18
1463335511,8,21
1463349911,11,15
1463364310,14,18
1463378710,33,17
1463393110,18,8
1463407510,14,10
1463421910,16,13
1463436309,12,17
1463450711,26,15
1463465110,17,20
1463479510,15,6
1463493913,14,11
1463508310,11,13
1463522713,11,31
1463537109,16,22
1463551510,20,12
1463565910,17,16
1463580321,15,10
1463594713,6,26
1463609114,17,18
1463623513,23,16
1463637910,33,16
1463652310,16,13
1463666724,12,6
1463681110,19,20
1463695510,11,17
1463709912,25,18
1463724312,25,12
1463738710,20,11
1463753111,27,11
1463767510,23,28
1463781911,34,30
1463796311,17,18
1463810710,25,15
1463825112,9,15
1463839511,14,13
1463853911,19,23
1463868311,12,20
1463882712,12,24
1463897110,13,26
1463911511,12,24
1463925913,12,30
1463940311,19,21
1463954710,11,27
1463969110,12,11
1463983510,10,12
1463997911,16,17
1464012310,14,15
1464026710,14,10
1464041111,14,14
1464055510,10,11
1464069910,14,14
1464084310,11,15
1464098710,13,15
1464113110,10,11
1464127510,11,9
1464141910,12,16
1464156311,26,15
1464170711,9,15
1464185110,12,13
1464199511,9,10
1464213910,5,15
1464228311,11,10
1464242710,12,11
1464257111,16,15
1464271517,14,9
1464285929,11,11
1464300311,9,21
1464314712,9,16
1464329110,15,9
1464343512,13,10
1464357915,14,7
1464372310,14,12
1464386714,18,10
1464401112,11,16
1464415512,16,10
1464429910,17,15
1464444311,15,11
1464458714,34,8
1464473110,28,15
1464487512,27,12
1464501912,33,13
1464516311,33,14
1464530805,31,17
1464545207,34,10
1464559510,27,17
1464573915,24,17
1464588311,25,12
1464602712,31,33
1464617110,30,30
1464631517,20,22
1464645910,24,38
1464660311,19,26
1464674710,22,35
1464689111,30,31
1464703511,33,33
1464717914,35,22
1464732310,41,27
1464746710,35,21
1464761113,33,39
1464775512,40,22
1464789912,41,22
1464804312,29,21
1464818711,25,22
1464833110,33,27
1464847512,46,32
1464861911,47,37
1464876316,49,39
1464890714,35,34
1464905113,33,31
1464919510,25,43
1464933911,22,43
1464948311,26,28
1464962713,26,26
1464977109,37,31
1464991514,31,42
1465005910,25,47
1465020313,21,49
1465034710,30,41
1465049110,25,29
1465063510,30,29
1465077910,21,25
1465092310,21,26
1465106711,22,26
1465121112,23,27
1465135511,21,34
1465149910,31,27
1465164311,27,25
1465178711,25,27
1465193112,31,29
1465207512,26,26
1465221912,32,24
1465236311,35,21
1465250711,23,22
1465265111,22,26
1465279511,26,20
1465293911,35,28
1465308310,22,28
1465322714,18,17
1465337115,22,36
1465351511,32,27
1465365911,31,35
1465380314,31,34
1465394711,30,22
1465409116,28,21
1465423513,23,25
1465437911,32,35
1465452311,29,26
1465466712,33,15
1465481115,30,24
1465495525,32,30
1465509911,30,31
1465524312,22,27
1465538711,27,36
1465553111,24,28
1465567511,29,25
1465581911,20,27
1465596310,21,29
1465610711,23,32
1465625111,16,32
1465639511,29,35
1465653914,33,29
1465668316,38,21
1465682710,47,25
1465697111,52,26
1465711511,49,27
1465725910,28,23
1465740311,28,20
1465754714,23,23
1465769114,29,19
1465783511,21,24
1465797912,20,29
1465812311,40,43
1465826716,21,41
1465841114,30,54
1465855515,27,45
1465869915,22,35
1465884311,25,28
1465898711,34,26
1465913111,18,31
1465927508,35,17
1465941908,75,23
1465956309,37,37
1465970712,27,22
1465985112,35,29
1465999511,24,26
1466013917,28,24
1466028308,31,28
1466042711,21,29
1466057111,7,23
1466071512,4,13
1466085911,4,89
1466100311,12,37
1466114712,20,33
1466129109,27,27
1466143512,24,33
1466157911,28,26
1466172312,28,32
1466186711,24,19
1466197516,14,11
1466211911,24,5
1466226311,28,5
1466240713,25,8
1466255110,30,13
1466269510,36,26
1466283917,22,24
1466298313,27,24
1466312710,35,31
1466327122,36,27
1466341511,41,20
1466355909,21,21
1466370309,16,28
1466384709,11,23
1466399108,16,35
1466413512,24,29
1466427910,33,29
1466442309,47,24
1466456711,43,33
1466471108,55,42
1466485509,66,32
1466499911,71,30
1466514311,60,13
1466528709,51,15
1466543110,54,16
1466557509,35,16
1466571910,44,36
1466586312,49,46
1466600711,53,39
1466615111,63,52
1466629520,56,68
