DateTime,AddedIPs,RemovedIPs
1515639311,1,0
1515653706,0,2
1515696908,2,0
1515725709,1,0
1515740105,0,1
1515797708,1,0
1515912906,0,1
1515984907,1,0
1515999307,1,0
1516143306,1,0
1516172105,0,3
1516186506,1,0
1516215306,2,0
1516229706,1,0
1516258506,0,3
1516388111,1,0
1516402505,7,0
1516431305,0,2
1516632905,1,0
1516647306,1,0
1516661706,1,0
1516690506,0,4
1516704906,2,0
1516748108,1,0
1516776906,0,4
1516863306,0,1
1516906506,2,0
1516920906,1,0
1516949706,0,9
1517036106,0,1
1517252111,1,0
1517266507,2,0
1517280906,1,0
1517295326,0,3
1517309706,2,0
1517338506,1,0
1517352905,2,0
1517381706,0,3
1517453707,1,0
1517468106,0,2
1517511305,1,0
1517540107,1,0
1517583306,1,0
1517626509,1,0
1517640906,0,3
1517770506,1,0
1517813705,0,1
1517885706,1,0
1517900106,0,1
1517943306,1,0
1517957705,2,0
1517972112,3,0
1517986511,0,1
1518015306,2,0
1518029708,2,0
1518044107,2,0
1518072907,0,1
1518144906,1,0
1518159306,0,1
1518227709,2,0
1518256506,0,1
1518501306,1,0
1518515706,1,3
1518558906,2,0
1518573307,2,0
1518602106,0,5
1518645305,1,0
1518659707,1,0
1518688506,0,1
1518731707,2,0
1518774907,0,1
1518789308,1,0
1518832507,1,0
1518861306,0,1
1518947706,1,1
1518990910,1,0
1519034105,0,1
1519091706,8,0
1519120506,0,4
1519178108,1,0
1519206909,0,5
1519250106,3,0
1519264510,2,0
1519293307,0,5
1519307707,1,0
1519350907,1,0
1519379707,0,2
1519466106,0,1
1519624506,1,0
1519667707,1,0
1519725306,0,1
1519811705,1,4
1519869306,1,0
1519898106,1,11
1519926906,1,0
1519941306,1,0
1519984506,1,0
1520013308,1,0
1520070905,0,5
1520099709,1,0
1520157306,0,1
1520243706,1,1
1520315706,1,0
1520330108,0,1
1520344508,1,0
1520416507,0,3
1520459736,2,0
1520488506,1,0
1520502906,1,2
1520546107,1,0
1520560507,1,0
1520589305,0,1
1520790908,2,0
1520848507,1,1
1520877306,1,0
1520934906,0,3
1520978109,1,0
1520992506,1,0
1521006907,1,0
1521021306,0,2
1521042911,1,0
1521057306,1,0
1521071706,1,0
1521100506,0,3
1521129306,1,0
1521186907,0,1
1521201307,1,0
1521215707,1,0
1521230109,5,0
1521460507,1,0
1521489308,1,0
1521532505,0,1
1521561305,1,0
1521575705,2,0
1521590107,2,0
1521618906,0,1
1521633307,1,0
1521648010,6,0
1521662410,4,0
1521705611,0,2
1521748811,1,0
1521777610,1,0
1521792012,0,3
1521864010,1,0
1521936011,1,0
1521964812,0,1
1522065612,2,0
1522137612,0,2
1522209612,1,0
1522224012,0,15
1522267216,4,0
1522310413,0,1
1522396811,0,3
1522468812,1,0
1522483212,0,4
1522555210,1,0
1522656011,0,2
1522670411,1,0
1522699212,1,0
1522742411,1,2
1522771212,1,0
1522828810,0,4
1522843211,1,0
1522872010,1,0
1522915211,0,3
1522944013,1,0
1522972808,1,0
1523073608,1,0
1523088007,0,1
1523131212,1,0
1523253608,0,1
1523282406,1,0
1523296806,2,0
1523311206,1,0
1523340009,0,2
1523354407,1,0
1523368807,2,0
1523383208,1,0
1523412007,1,0
1523426410,0,4
1523512811,0,5
1523599213,0,2
1523642409,1,0
1523656808,2,0
1523714409,1,0
1523887207,1,0
1523916008,1,0
1523944811,0,2
1523973608,2,0
1524016808,1,0
1524031211,0,1
1524074408,1,0
1524088810,0,0
1524103207,1,0
1524117609,0,1
1524175208,2,0
1524204009,0,2
1524290409,0,1
1524304808,1,0
1524333609,1,0
1524477610,1,0
1524506409,3,0
1524520809,1,0
1524535209,1,0
1524549615,0,7
1524607210,1,0
1524636010,1,2
1524693611,1,0
1524722412,0,3
1524780010,1,0
1524808812,1,2
1524852011,1,0
1524895210,0,1
1524981610,0,1
1525053608,1,0
1525082410,1,0
1525154418,0,3
1525212010,4,0
1525240813,0,4
1525298410,2,0
1525312807,1,0
1525413608,0,6
1525442408,1,0
1525485608,1,0
1525500009,0,2
1525586410,0,1
1525672809,0,1
1525845611,0,2
1525903209,1,0
1525932010,0,2
1525975210,2,0
1526018411,0,2
1526104809,0,1
1526133609,1,0
1526292009,1,0
1526306409,1,0
1526335208,1,0
1526364009,0,2
1526378409,1,0
1526450409,0,1
1526508008,1,0
1526522408,1,0
1526536812,0,1
1526565608,1,0
1526594408,1,0
1526623212,1,1
1526666408,1,0
1526709608,0,1
1526882408,1,0
1526940007,1,0
1526997608,1,0
1527012007,2,0
1527026408,4,0
1527055211,0,2
1527084008,1,0
1527098408,1,0
1527213609,1,0
1527285608,1,0
1527300008,0,0
1527314410,0,1
1527328809,0,0
1527343208,0,0
1527357609,0,0
1527372008,0,0
1527386408,0,0
1527400808,0,1
1527501607,1,0
1527530406,1,0
1527573609,0,2
1527631209,1,0
1527660010,0,2
1527688809,1,0
1527703209,4,0
1527717609,1,0
1527746405,0,4
1527775204,1,0
1527804006,2,0
1527832806,0,1
1527904806,0,0
1527919207,0,1
1527933611,0,0
1527948007,0,0
1527962408,0,0
1527976807,0,0
1527991207,0,0
1528005616,0,1
1528034407,2,0
1528092008,0,1
1528135207,1,0
1528178408,0,1
1528207208,2,0
1528221607,2,0
1528236008,1,0
1528264808,0,7
1528293608,2,0
1528308008,3,0
1528322411,1,0
1528351210,0,5
1528437609,0,3
1528495208,1,0
1528524010,0,2
1528610408,0,2
1528725609,1,0
1528740007,1,0
1528783208,0,2
1528826408,2,0
1528869608,0,4
1528912808,1,0
1528956008,0,2
1529013608,1,0
1529042410,0,1
1529071208,1,0
1529143208,1,0
1529359207,1,0
1529388008,0,2
1529445607,1,0
1529474407,0,2
1529517607,1,0
1529546408,1,0
1529560809,0,3
1529690409,1,0
1529704808,188,0
1529733611,0,2
1529748009,1,0
1529762408,1,0
1529776808,1,0
1529877608,1,0
1529920809,1,0
1529949608,3,0
1529992810,0,3
1530007208,1,0
1530021608,1,0
1530036008,3,0
1530050407,2,0
1530079209,3,2
1530093608,4,0
1530108010,3,0
1530122409,1,0
1530136808,1,0
1530151210,1,0
1530165609,1,3
1530180008,1,0
1530208809,1,0
1530252009,0,2
1530280811,1,0
1530295208,1,0
1530338411,0,5
1530424805,0,39
1530453604,1,0
1530511208,0,66
1530597613,0,42
1530669611,1,0
1530684010,0,8
1530756011,1,0
1530770413,1,14
1530828009,1,0
1530856811,1,5
1530943212,0,39
1531000813,1,0
1531029615,0,1
1531144810,1,0
1531173609,1,0
1531202410,0,3
1531231209,1,0
1531245610,1,0
1531260010,1,0
1531288813,0,1
1531432809,1,0
1531490412,2,0
1531548009,1,4
1531605608,1,0
1531634412,0,1
1531720812,0,1
1531735210,1,0
1531764011,1,0
1531807211,0,1
1531879211,2,0
1531893613,0,1
1531951210,1,0
1531980012,0,1
1532037609,1,0
1532052009,1,0
1532066409,0,3
1532080809,1,0
1532152809,0,1
1532311209,1,0
1532340008,1,0
1532397610,2,0
1532412010,0,4
1532426410,1,0
1532440811,1,0
1532455211,1,0
1532484011,1,0
1532498411,1,3
1532512811,1,0
1532584811,1,0
1532613610,1,0
1532628010,2,0
1532642410,1,0
1532671212,0,1
1532685610,2,0
1532757609,1,1
1532944807,2,0
1532959208,1,0
1532973608,1,0
1533016803,0,2
1533060008,1,0
1533074408,1,0
1533146404,4,0
1533160804,1,0
1533175206,1,0
1533189609,0,5
1533247208,1,0
1533261608,2,0
1533276007,1,0
1533362412,0,1
1533434410,1,0
1533448812,0,1
1533578408,3,0
1533607209,1,0
1533621613,0,4
1533636011,1,0
1533708012,1,10
1533736809,1,0
1533844811,0,3
1533859211,1,0
1533873610,1,0
1533888010,0,3
1533931210,1,0
1533974410,0,2
1533988809,1,0
1534060809,0,1
1534147208,0,1
1534233609,1,5
1534248009,1,0
1534320009,0,2
1534348809,1,0
1534363208,1,0
1534377609,1,0
1534406409,0,2
1534435209,1,0
1534478410,1,0
1534492812,0,3
1534579211,0,1
1534665609,0,1
1534780808,1,0
1534824010,1,0
1534838409,1,1
1534867210,1,0
1534896011,1,0
1535040010,1,0
1535112009,1,0
1535126409,2,0
1535155209,1,0
1535169610,1,0
1535241611,1,0
1535328013,1,0
1535356811,1,2
1535385611,1,0
1535414412,1,0
1535443211,0,3
1535457610,1,0
1535486411,1,0
1535529611,0,1
1535601610,1,0
1535616011,0,1
1535644811,2,0
1535659210,4,0
1535702410,0,4
1535774410,1,0
1535788803,0,1
1535918409,1,0
1535961609,0,1
1535976009,1,0
1536048009,1,1
1536076811,2,0
1536134410,0,3
1536177610,3,0
1536220809,0,2
1536264009,1,0
1536307209,1,3
1536480010,0,1
1536566409,0,2
1536580810,1,0
1536595209,2,0
1536609610,1,0
1536624015,1,0
1536652811,1,6
1536667210,1,0
1536696009,1,0
1536768010,1,0
1536796810,1,0
1536825609,0,1
1536883210,1,0
1536912009,0,1
1536940809,1,0
1536955209,4,0
1536984011,1,0
1537113609,1,0
1537171209,0,1
