DateTime,AddedIPs,RemovedIPs
1581732966,32,36
1581821525,37,26
1581906728,36,0
1581991449,20,39
1582080248,26,61
1582165448,34,0
1582254014,30,63
1582338966,28,34
1582423931,27,38
1582512251,27,40
1582596968,24,0
1582685526,26,72
1582770486,37,37
1582855215,34,33
1582944007,31,35
1583028970,37,40
1583117527,31,32
1583202247,37,0
1583290809,32,56
1583375532,28,0
1583460490,36,36
1583549051,33,37
1583633768,28,39
1583722087,33,49
1583807052,33,0
1583895366,29,57
1583979848,35,0
1584068168,30,48
1584152886,24,0
1584241453,31,47
1584326170,36,36
1584411849,35,0
1584500422,30,66
1584584887,35,23
1584673691,29,17
1584758172,26,29
1584843131,17,0
1584931450,32,55
1585016170,27,30
1585104492,28,32
1585189449,28,23
1585278011,37,27
1585362487,34,32
1585451294,32,30
1585536006,36,0
1585620970,28,25
1585709533,22,66
1585794490,33,38
1585883292,28,30
1585967766,31,31
1586052727,27,35
1586141770,37,32
1586226731,24,37
1586315289,27,33
1586399769,28,33
1586488326,25,26
1586573287,27,32
1586658007,28,0
1586746331,21,66
1586831290,26,0
1586920090,32,67
1587005053,23,35
1587089767,29,0
1587178330,22,70
1587262807,31,0
1587351129,22,59
1587437529,25,27
1587522732,22,0
1587611789,26,67
1587694567,25,0
1587783132,22,65
1587867611,20,0
1587956168,24,73
1588040887,28,0
1588129691,31,77
1588214407,24,31
1588299131,26,0
1588387686,20,73
1588472410,28,0
1588560968,27,64
1588646171,20,37
1588731126,21,0
1588819685,24,52
1588904650,23,0
1588993211,25,42
1589077694,23,0
1589166005,21,49
1589250488,18,25
1589338807,20,28
1589423767,26,20
1589508970,35,0
1589597530,42,41
1589683929,45,28
1589769128,39,0
1589858167,39,50
1589942887,36,0
1590027607,42,22
1590116651,40,47
1590201607,44,0
1590290171,35,50
1590375135,32,28
1590460330,34,23
1590548890,35,22
1590633856,40,33
1590719053,34,0
1590807610,36,53
1590892567,35,24
1590981368,44,19
1591066330,35,30
1591150808,33,0
1591239848,39,48
1591324566,34,26
1591413126,39,28
1591497849,33,21
1591582811,31,0
1591671611,30,47
1591756331,36,0
1591845366,28,53
1591930087,27,0
1592015286,25,35
1592103608,32,75
1592188567,29,0
1592277126,27,65
1592361611,31,36
1592450648,35,40
1592535367,35,29
1592620093,35,38
1592708892,24,33
1592793368,29,0
1592882407,22,62
1592967130,31,0
1593052087,25,32
1593140407,23,27
1593225127,28,30
1593313449,18,69
1593398168,20,0
1593486967,36,74
1593571698,18,0
1593656887,20,41
1593745207,26,64
1593829686,31,0
1593918489,27,72
1594002969,27,0
1594092005,24,71
1594176966,23,33
1594261685,17,0
1594350491,23,63
1594435207,24,0
1594523525,23,71
1594607766,20,34
1594696089,23,38
1594781526,17,37
1594867212,18,0
1594956256,23,68
1595040967,18,0
1595129285,20,74
1595214490,23,22
1595299206,30,0
1595387766,16,46
1595472730,21,0
1595561526,26,62
1595646491,24,25
1595731212,24,0
1595820248,22,43
1595905210,26,0
1595990167,16,19
1596078489,22,18
1596162969,22,25
1596251767,32,51
1596336726,19,0
1596425524,30,48
1596510247,27,0
1596594966,26,23
1596683765,25,24
1596768248,26,21
1596856805,24,39
1596941525,25,0
1597029847,26,54
1597114565,20,0
1597203130,22,40
1597287846,23,0
1597372567,21,26
1597460888,36,40
1597545610,36,0
1597633205,35,43
1597721528,30,21
1597806246,38,0
1597894568,36,44
1597981207,36,20
1598065925,40,26
1598150887,38,0
1598239449,33,50
1598324649,39,26
1598413209,39,26
1598499378,37,28
1598583847,32,24
1598670732,32,18
1598755205,30,20
1598843765,30,0
1598928725,31,30
1599017527,33,52
1599102725,34,29
1599187449,29,21
1599276488,35,19
1599360966,28,22
1599450009,33,27
1599534491,36,27
1599623290,32,26
1599708007,32,23
1599792488,35,0
1599881049,30,57
1599966016,30,39
1600055050,34,35
1600140008,34,27
1600224967,30,0
1600313528,29,33
1600398491,28,63
1600487286,36,30
1600572255,39,0
1600656977,38,34
1600746248,28,66
1600830965,34,0
1600919289,29,58
1601004487,31,0
1601089211,35,37
1601178487,31,63
1601307131,36,29
1601349854,36,29
1601434806,34,0
1601524571,34,63
1601609285,31,0
1601694253,29,32
1601782809,31,67
1601867289,38,0
1601956090,37,71
1602040566,37,0
1602129127,33,76
1602213851,34,0
1602302417,31,69
1602386885,37,44
1602473766,37,35
1602558492,32,36
1602646808,31,0
1602732106,35,77
1602820329,36,38
1602905051,29,0
1602993607,35,76
1603078084,30,0
1603166647,40,77
1603251370,30,34
1603336090,31,0
1603424647,34,64
1603509848,33,0
1603598165,40,65
1603682886,33,37
1603771451,33,37
1603855925,41,0
1603944485,36,67
1604028966,33,36
1604113687,31,0
1604202006,33,65
1604286487,32,27
1604376725,29,29
1604461211,46,41
1604545686,38,0
1604634006,35,63
1604722327,39,32
1604806807,37,35
1604891525,40,0
1604979847,43,68
1605066248,38,32
1605150726,37,30
1605239048,38,32
1605323765,37,0
1605412084,35,37
1605498486,30,67
1605583446,36,0
1605671765,33,65
1605756249,35,0
1605844810,34,70
1605929285,25,32
1606017615,23,34
1606102324,27,35
1606190886,24,38
1606275606,19,34
1606363937,24,32
1606448405,41,39
1606536728,36,37
1606621208,43,34
1606705926,39,35
1606794252,42,37
1606879206,38,36
1606967525,34,0
1607052003,37,31
1607140565,39,87
1607225050,40,0
1607313365,40,32
1607397848,35,36
1607486164,30,76
1607571131,36,0
1607659447,41,65
1607743685,42,33
1607832486,35,36
1607917209,27,25
1608006005,36,33
1608090725,30,27
1608175450,35,27
1608263767,35,27
1608348967,36,36
1608437288,36,30
1608522253,32,23
1608610566,27,22
1608695288,28,32
1608783606,30,31
1608868087,28,33
1608952806,36,0
1609041130,26,80
1609129450,34,37
1609214416,31,40
1609299128,34,37
1609387929,34,40
1609472886,29,38
1609561206,37,26
1609645928,35,33
1609734494,38,38
1609819227,30,41
1609903929,28,0
1609992486,28,84
1610077449,31,0
1610166007,31,63
1610250729,30,0
1610339290,32,80
1610423767,30,0
1610512090,28,69
1610596568,33,0
1610681528,29,36
1610769848,24,74
1610854571,26,0
1610943126,26,74
1611027852,25,0
1611116405,27,74
1611201127,28,0
1611289692,24,60
1611374654,26,0
1611459610,27,35
1611548406,28,74
1611633125,25,0
1611721689,29,75
1611806165,26,0
1611893047,24,76
1611978007,27,0
1612067290,24,38
1612152016,23,47
1612240328,27,52
1612325292,25,0
1612410008,26,38
1612498326,21,50
1612583526,27,0
1612672327,27,52
1612756884,25,0
1612842261,26,27
1612931292,23,58
1613016019,32,25
1613104325,26,28
1613189288,29,30
1613274011,32,26
1613362328,23,24
1613447385,50,31
1613536333,44,27
1613621767,43,24
1613706725,41,0
1613795049,35,56
1613880017,36,0
1613964969,41,23
1614054067,33,51
1614138966,33,0
1614227526,35,50
1614312248,39,0
1614397206,40,29
1614485766,35,48
1614570252,39,24
1614658806,39,0
1614743766,34,22
1614832567,29,54
1614917053,34,0
1615001766,29,27
1615091324,34,55
1615177497,29,33
1615262648,33,0
1615347367,43,27
1615436649,35,62
1615521368,31,0
1615609449,41,61
1615696324,35,0
1615780818,32,29
1615869126,30,67
1615953848,31,0
1616042408,23,78
1616127126,34,0
1616211849,31,36
1616300405,36,73
1616385127,40,0
1616473690,32,62
1616558647,30,40
1616647450,32,32
1616732164,26,39
1617360117,46,225
1618026727,72,240
1618374725,134,170
1618547290,58,67
1618632247,22,0
1618720092,28,58
1618805048,32,37
1618894328,29,38
1618979532,31,34
1619064966,31,0
1619153767,24,62
1619238968,23,0
1619324408,27,80
1619409367,26,0
1619496247,26,0
1619585527,26,0
1619670726,26,0
1619755449,33,0
1619844249,24,0
1619929211,24,0
1620017527,26,31
1620102972,37,0
1620188409,28,0
1620273621,32,0
1620361927,29,0
1620446884,31,0
1620536170,31,0
1620621367,23,53
1620705846,22,0
1620795618,31,71
1620881047,27,27
1620966249,23,0
1621051688,32,64
1621140486,27,23
1621225206,31,20
1621314023,24,26
1621398726,28,24
1621484896,19,0
1621570091,25,36
1621656486,27,34
1621743162,30,26
1621831685,31,46
1621917371,34,28
1622004730,33,28
1622090166,18,28
1622175609,29,0
1622261048,32,20
1622351054,34,60
1622436967,32,25
1622522409,30,29
1622607366,32,0
1622693533,35,24
1622782342,40,66
1622865849,45,31
1622955849,38,28
1623039130,38,30
1623126485,37,0
1623213612,43,56
1623299771,40,22
1623386169,34,0
1623473051,34,56
1623559213,31,28
1623645365,34,31
1623731288,37,0
1623817447,31,60
1623902649,33,0
1623990009,31,21
1624076168,36,28
1624165691,34,45
1624250652,38,27
1624335850,29,32
1624424888,41,30
1624510330,39,35
1624595047,28,0
1624684332,38,48
1624769770,37,30
1624855928,42,33
1624941368,36,0
1625027048,39,38
1625115847,38,63
1625201529,26,22
1625287208,36,35
1625373127,34,0
1625458332,35,74
1625547367,41,0
1625632807,36,71
1625718734,38,33
1625807771,34,36
1625892730,42,29
1625977694,38,0
1626066247,38,66
1626151688,42,37
1626236889,34,0
1626322333,28,32
