DateTime,AddedIPs,RemovedIPs
1636672568,49,48
1636762084,48,97
1636848251,47,0
1636934168,47,46
1637019609,47,47
1637104808,45,47
1637190971,49,46
1637276888,50,49
1637366889,47,97
1637452810,49,0
1637538731,50,50
1637624892,48,48
1637691134,50,50
1637710572,45,0
1637796248,45,91
1637881931,46,47
1637968329,42,47
1638057367,47,89
1638142809,50,0
1638228249,46,48
1638313932,46,48
1638403452,48,94
1638488651,48,0
1638573848,48,47
1638663129,49,98
1638746886,50,0
1638835686,46,96
1638921130,48,0
1639007047,45,46
1639092489,44,45
1639178166,49,46
1639267209,47,96
1639353367,49,0
1639439049,43,46
1639524489,40,40
1639610170,46,46
1639696326,45,45
1639785130,47,93
1639870086,45,0
1639956249,49,45
1640041685,48,49
1640130967,47,95
1640216647,50,0
1640303049,47,97
1640388971,42,0
1640475372,43,85
1640560807,42,0
1640650327,41,83
1640735769,42,0
1640821691,44,40
1640907131,44,43
1640992808,44,43
1641015852,0,48
1641082087,50,0
1641168017,44,47
1641253686,45,47
1641337689,45,44
1641426967,49,95
1641512409,48,0
1641599049,46,94
1641684009,46,0
1641769690,45,46
1641858728,46,91
1641944172,48,0
1642030327,48,47
1642116247,44,47
1642205288,43,90
1642291233,47,0
1642376171,47,46
1642461605,42,45
1642550888,45,89
1642636567,47,0
1642721770,49,47
1642806969,47,48
1642893126,49,47
1642982167,47,97
1643069530,50,50
1643154727,47,0
1643239690,44,43
1643325849,38,39
1643411526,45,45
1643501056,44,91
1643586735,49,0
1643673129,45,44
1643759528,48,50
1643845448,47,47
1643930706,36,34
1644031449,47,97
1644116168,46,0
1644201605,46,45
1644287528,48,46
1644372970,36,37
1644459369,49,47
1644545529,35,39
1644632652,42,88
1644718087,46,0
1644804728,47,93
1644894011,43,43
1644977528,44,0
1645063450,45,40
1645149852,32,81
1645237711,46,46
1645323608,48,0
1645409865,43,44
1645498332,48,95
1645583532,48,0
1645669928,41,47
1645755131,37,33
1645841056,47,43
1645930333,41,91
1646016013,48,0
1646100973,47,46
1646189772,34,83
1646275691,46,0
1646360888,37,35
1646447050,46,46
1646533451,48,96
1646618405,48,0
1646704898,46,94
1646794092,47,47
1646880249,48,0
1646965452,36,34
1647050887,48,48
1647136815,47,48
1647225847,48,97
1647312967,50,50
1647399611,48,48
1647485527,48,0
1647570726,35,35
1647657374,48,96
1647743052,46,0
1647828487,46,45
1647914894,44,91
1648004165,50,50
1648089125,44,0
1648174568,39,38
1648260247,48,45
1648350006,48,96
1648436167,46,0
1648521126,46,44
1648606325,48,48
1648692248,50,48
1648780811,34,84
1648865771,47,0
1648951262,49,46
1649040247,47,97
1649125928,50,0
1649212567,47,97
1649297048,48,0
1649386087,36,85
1649471769,50,0
1649557926,50,49
1649643367,47,49
1649729051,47,46
1649818569,42,91
1649903771,50,0
1649988966,49,50
1650074652,48,48
1650160808,46,45
1650250569,49,99
1650335765,50,0
1650420731,48,48
1650510019,47,97
1650595448,49,0
1650681368,48,48
1650767290,49,48
1650852036,46,49
1650941772,49,96
1651027208,47,0
1651112650,49,46
1651198326,42,42
1651287367,49,99
1651372809,48,0
1651458489,49,48
1651544407,48,48
1651630567,37,37
1651716970,48,97
1651802407,50,0
1651888807,50,50
1651978329,48,98
1652064009,50,0
1652149926,46,49
1652237529,35,82
1652323933,50,50
1652410089,50,0
1652496248,49,49
1652582168,47,49
1652666651,49,48
1652753770,42,91
1652839448,44,0
1652928966,48,92
1653014648,50,0
1653100184,49,49
1653186011,49,50
1653271206,50,49
1653360248,46,96
1653445929,50,0
1653531128,48,49
1653617769,38,87
1653704170,48,48
1653793211,49,49
1653878408,49,0
1653964569,49,49
1654050010,35,35
1654135451,49,48
1654224731,35,85
1654309452,48,0
1654396088,49,97
1654484408,49,49
1654570810,48,48
1654654325,47,0
1654740727,43,90
1654826648,44,0
1654915691,49,93
1655001609,48,0
1655087768,45,46
1655173451,46,46
1655258652,33,31
1655347689,46,95
1655433133,50,0
1655518570,48,48
1655604487,46,48
1655690892,50,98
1655776808,49,0
1655866332,35,84
1655951527,48,0
1656037207,34,33
1656124568,47,96
1656210971,49,49
1656297372,48,48
1656383530,49,0
1656468727,42,41
1656555126,41,47
1656641051,39,36
1656730331,47,94
1656815770,47,0
1656900728,44,47
1656986886,47,42
1657076411,32,81
1657161851,43,0
1657247051,31,30
1657333207,42,44
1657419130,46,41
1657504808,46,46
1657594808,46,93
1657680730,43,0
1657766888,41,42
1657852810,34,35
1657939218,49,90
1658024169,47,0
1658113213,42,89
1658198412,46,0
1658282887,45,45
1658372168,45,91
1658458091,43,0
1658543528,46,41
1658628249,45,48
1658716570,44,89
1658802730,46,0
1658888652,47,45
1658974329,45,47
1659063132,42,88
1659148089,47,0
1659232808,46,44
1659321849,48,97
1659408013,46,0
1659493450,45,46
1659578888,44,43
1659664808,44,44
1659754807,45,91
1659840969,46,0
1659927365,46,46
1660013292,42,44
1660098487,47,43
1660184408,46,45
1660269609,31,34
1660358648,40,86
1660443851,46,0
1660532412,48,94
1660617129,49,0
1660702569,43,43
1660791367,43,92
1660876813,48,0
1660961771,43,45
1661047752,40,38
1661136732,40,88
1661222412,49,0
1661307607,38,38
1661393528,45,46
1661479207,39,39
1661568249,50,98
1661654169,48,0
1661739129,47,48
1661828413,44,91
1661914330,47,0
1661999529,45,44
1662084731,45,45
1662173529,48,96
1662258487,48,0
1662344166,46,46
1662433451,48,96
1662518892,46,0
1662605048,44,43
1662691449,40,87
1662777368,48,0
1662862566,47,47
1662951608,49,97
1663037677,50,0
1663122166,45,46
1663210683,42,91
1663297108,49,49
1663380020,46,0
1663468807,45,91
1663554486,48,0
1663639929,42,41
1663725617,44,48
1663814887,44,89
1663900570,45,0
1663986006,47,43
1664071449,45,48
1664160009,46,93
1664246408,50,0
1664332088,48,49
1664417768,47,48
1664506571,50,97
1664591767,43,0
1664676727,48,43
1664765528,45,93
1664850727,48,0
1664935927,48,47
1665024971,49,98
1665110406,49,0
1665195612,44,47
1665281525,50,46
1665367273,49,49
1665456486,48,98
1665541688,48,0
1665627365,47,46
1665714005,44,93
1665799927,47,0
1665885607,47,48
1665975607,50,96
1666061767,50,0
1666147207,49,50
1666232407,45,48
