DateTime,AddedIPs,RemovedIPs
1636440966,22,15
1636526646,28,0
1636611847,17,32
1636701125,24,43
1636786086,26,0
1636872011,19,21
1636957211,17,14
1637046485,19,51
1637131924,23,17
1637218567,19,23
1637304247,28,0
1637390412,33,22
1637476327,22,21
1637562007,18,14
1637648410,19,19
1637691130,12,30
1637737684,16,19
1637823368,28,26
1637909050,10,26
1637995449,23,22
1638080648,21,0
1638170405,10,43
1638255371,21,0
1638340806,22,24
1638426485,26,30
1638515767,19,35
1638602647,20,21
1638688092,15,12
1638773049,17,0
1638858726,19,27
1638946330,21,42
1639034168,24,22
1639118403,16,0
1639204087,14,19
1639293367,4,27
1639379053,9,21
1639464964,27,25
1639550883,44,0
1639636565,32,20
1639725604,17,26
1639811285,12,6
1639896723,35,0
1639981924,22,13
1640071448,36,56
1640157126,36,33
1640242814,17,18
1640328723,18,0
1640414884,19,15
1640501288,10,29
1640586968,16,63
1640676484,20,37
1640762403,24,22
1640848324,30,19
1640934252,12,21
1641019930,16,17
1641105847,13,0
1641191531,6,11
1641278885,19,21
1641364808,28,22
1641454084,26,37
1641539535,21,0
1641626406,14,31
1641711366,14,7
1641797046,16,20
1641885847,32,24
1641971525,19,25
1642057927,15,0
1642143367,31,26
1642228809,24,13
1642349047,20,33
1642430647,17,27
1642515847,26,21
1642605124,12,18
1642691047,28,27
1642776246,21,25
1642861449,11,23
1642950965,12,0
1643033770,11,18
1643123767,13,36
1643208725,17,0
1643294889,14,21
1643380331,19,24
1643465771,23,10
1643555528,18,11
1643641746,10,29
1643728219,14,0
1643814246,12,34
1643899211,12,0
1643985126,13,16
1644072965,12,43
1644160083,11,0
1644246590,12,24
1644331444,14,0
1644416646,17,14
1644506405,14,29
1644589210,24,0
1644675609,16,10
1644765131,17,22
1644851528,18,14
1644938118,13,19
1645024825,33,11
1645107537,30,0
1645194785,23,34
1645281172,11,18
1645370429,20,19
1645454891,10,0
1645540809,16,19
1645626739,19,27
1645712888,17,47
1645801454,19,13
1645887851,15,20
1645973048,12,0
1646058485,13,11
1646147288,27,35
1646232726,25,14
1646318411,21,20
1646404085,32,0
1646490485,17,12
1646579769,21,27
1646664968,19,22
1646751613,25,0
1646837049,25,24
1646922967,18,23
1647012006,23,53
1647097930,11,14
1647181685,13,0
1647270249,13,39
1647355685,18,0
1647442811,14,49
1647528246,28,23
1647614170,26,0
1647700327,19,12
1647789604,5,28
1647873128,25,0
1647961926,22,34
1648047365,27,0
1648132804,21,29
1648222329,19,42
1648308247,18,8
1648393448,9,0
1648478645,16,43
1648567207,14,29
1648653367,22,17
1648738564,18,21
1648823525,24,0
1648912327,25,19
1648997765,16,13
1649082968,8,12
1649169126,19,22
1649258648,14,40
1649343605,16,24
1649428808,21,22
1649514969,15,0
1649604488,9,33
1649690169,11,19
1649775607,15,12
1649860810,22,0
1649949846,34,38
1650035285,27,14
1650121449,13,12
1650208085,14,0
1650293285,8,10
1650381849,7,34
1650467285,13,18
1650552968,8,0
1650638408,6,29
1650724570,12,20
1650813369,6,28
1650898565,10,8
1650984966,13,0
1651073770,12,17
1651159207,13,6
1651244413,23,9
1651330087,8,10
1651416009,12,0
1651505284,9,23
1651591446,15,12
1651677850,15,0
1651763764,11,12
1651850886,14,33
1651936327,13,13
1652021286,8,5
1652110571,19,13
1652195284,10,0
1652280724,12,16
1652367127,15,16
1652453529,14,12
1652543048,7,26
1652628248,13,19
1652714650,8,0
1652800804,9,18
1652886009,16,15
1652971683,11,0
1653060964,2,26
1653147124,7,0
1653232567,17,13
1653317764,15,4
1653407047,18,31
1653492248,27,11
1653578169,17,4
1653664565,18,0
1653750484,5,7
1653839530,18,31
1653925206,23,18
1654011127,19,0
1654096807,15,27
1654182012,10,18
1654268172,10,17
1654356965,10,23
1654441930,5,0
1654528565,16,16
1654614070,19,20
1654702570,10,32
1654788723,16,10
1654874649,16,8
1654960325,12,0
1655048883,10,17
1655134568,20,17
1655220251,9,14
1655304968,19,0
1655394485,11,32
1655479688,17,11
1655565364,29,11
1655651528,13,0
1655737930,3,20
1655823605,32,13
1655913128,13,27
1655998571,13,0
1656085686,23,42
1656171613,15,12
1656258487,12,6
1656344411,13,31
1656429846,7,14
1656515765,11,0
1656601924,7,14
1656687850,20,23
1656776650,9,24
1656862084,7,0
1656948004,20,14
1657033685,15,10
1657123210,28,20
1657208166,25,17
1657294086,13,9
1657379526,11,0
1657466167,15,7
1657551612,7,18
1657641367,18,42
1657727769,42,0
1657813456,24,40
1657899850,20,11
1657985525,12,16
1658070964,6,0
1658159765,13,29
1658244488,27,0
1658329451,5,38
1658419205,8,45
1658504647,12,0
1658589847,15,11
1658678165,15,21
1658763609,15,0
1658849768,16,32
1658935448,24,8
1659020886,17,0
1659109685,27,26
1659194164,23,0
1659283209,20,31
1659368885,11,17
1659454326,18,0
1659540005,24,23
1659626171,22,42
1659802091,29,40
1659884649,11,0
1659974405,18,25
1660059847,15,24
1660145526,19,22
1660230730,12,0
1660320005,11,23
1660404969,7,0
1660489924,19,38
1660578729,5,0
1660663687,19,14
1660748884,17,14
1660837930,15,34
1660923126,18,0
1661008564,16,8
1661097848,7,22
1661183532,19,16
1661268967,17,20
1661354406,14,13
1661440326,8,0
1661529852,10,36
1661615047,11,9
1661700725,4,0
1661785927,7,20
1661875447,16,30
1661960648,11,9
1662045850,10,12
1662134648,12,0
1662219845,7,11
1662305530,7,11
1662390965,16,15
1662480008,15,0
1662565926,29,21
1662652568,18,12
1662738485,27,0
1662823684,42,8
1662908888,5,7
1662995524,15,13
1663084460,19,14
1663170562,16,28
1663256753,18,18
1663340646,20,26
1663430165,13,43
1663515606,19,19
1663600805,17,22
1663686964,12,0
1663776006,10,32
1663861684,24,19
1663947366,21,16
1664032567,15,0
1664121609,8,38
1664207285,19,11
1664293450,20,10
1664378648,19,0
1664464331,16,21
1664552885,14,35
1664637846,14,10
1664726647,11,19
1664812086,23,19
1664897283,9,0
1664984407,15,32
1665070087,16,16
1665156009,9,0
1665245283,19,27
1665330727,8,0
1665416887,13,30
1665502086,14,18
1665590646,16,14
1665675847,19,9
1665761287,12,18
1665850568,15,6
1665936245,19,14
1666023125,16,15
1666108565,15,21
1666193768,20,0
1666279450,15,19
1666365845,19,11
1666451527,13,15
1666541530,13,34
1666626964,17,0
1666713125,17,16
1666799766,12,34
1666886647,12,18
1666973529,12,11
1667059931,41,11
1667145850,4,0
1667232006,12,36
1667318407,15,14
1667405050,18,12
1667491450,13,14
1667577849,18,0
1667664728,7,35
1667748013,4,5
1667837531,12,32
1667924164,15,18
1668007219,9,0
1668096247,16,11
1668181926,27,20
1668266889,13,6
1668355689,8,16
1668441372,16,0
1668528007,9,15
1668613932,11,21
1668699611,8,0
1668788165,6,38
1668874328,4,7
1668960964,6,14
1669047848,5,7
1669134010,15,11
1669220166,10,11
1669306085,9,11
1669391765,10,0
1669476727,7,3
1669566004,9,12
1669651931,5,0
1669737612,15,9
1669824963,11,11
1669910411,14,13
1669996087,12,10
1670082250,6,14
1670167925,5,0
1670256965,16,20
1670343615,15,13
1670430005,16,11
1670516163,20,10
1670602328,14,10
1670688247,9,7
1670774486,4,18
1670860331,15,0
1670945765,16,14
1671031926,9,15
1671118085,12,18
1671207371,16,22
1671293531,10,5
1671378973,1,0
1671465366,13,35
1671551530,49,11
1671637215,5,10
1671722887,6,15
1671812406,18,9
1671898570,11,2
1671984489,18,13
1672070166,6,0
1672156564,8,43
1672242972,10,12
1672328885,6,25
1672414568,8,0
1672501208,4,13
1672552331,0,11
1672587848,2,0
1672673774,10,7
1672762810,9,20
1672848006,11,7
1672933686,9,8
1673022252,14,5
1673107446,4,0
1673192650,13,7
1673282172,11,6
1673368085,12,8
1673454492,8,6
1673540405,6,9
1673626572,5,0
1673712005,5,11
1673797934,3,18
1673883847,6,0
1673969769,3,3
1674059285,9,15
1674145206,7,14
1674230405,8,0
1674321609,1,9
1674406809,4,7
1674495609,2,4
1674581289,5,9
1674666484,8,11
1674755046,4,6
1674840247,11,4
1674925685,4,0
1675011131,10,3
1675100406,13,4
1675186328,9,16
1675272485,5,4
1675357688,11,0
1675446966,11,17
1675532886,11,8
1675618086,9,9
1675703053,3,0
1675791124,5,11
1675876563,10,10
1675965129,1,17
1676050808,10,0
1676136004,10,4
1676221451,7,7
1676310729,9,13
1676396164,21,10
1676481366,18,11
1676569926,11,0
1676655370,11,9
1676741048,7,16
1676826731,5,12
1676915523,15,0
1677001450,10,33
1677087124,15,10
1677171845,11,0
1677258003,8,10
1677344165,7,9
1677433207,11,23
1677516964,10,0
1677606723,12,28
1677692169,12,13
1677777136,9,7
1677862809,6,8
1677952088,9,10
1678037526,6,0
1678122486,13,20
1678208403,15,0
1678297928,11,22
1678383605,15,7
1678469289,10,10
1678554005,10,0
1678642804,7,20
1678728246,14,11
1678814164,14,12
1678899845,12,0
1678989367,14,24
1679074568,16,9
1679160253,0,7
1679245688,1,0
1679331611,12,15
1679420891,9,28
1679506577,4,15
