DateTime,AddedIPs,RemovedIPs
1636600084,36,59
1636685529,33,45
1636770728,20,0
1636856170,32,34
1636945689,31,84
1637031126,32,33
1637116571,36,34
1637202729,33,0
1637288650,35,34
1637374569,31,35
1637464568,33,58
1637550489,40,0
1637636889,30,64
1637691131,49,0
1637722330,35,38
1637807951,28,32
1637893687,34,37
1637979851,34,33
1638069129,33,0
1638154567,32,31
1638240011,32,39
1638325447,34,78
1638414966,33,69
1638500405,33,34
1638585369,33,34
1638672966,31,0
1638758404,39,32
1638843369,27,29
1638932884,32,69
1639018566,33,0
1639104262,31,30
1639190166,31,36
1639275371,31,27
1639364885,32,67
1639450567,27,31
1639536003,36,0
1639621923,29,32
1639708083,29,24
1639796645,30,59
1639881604,31,30
1639967765,35,0
1640053447,33,32
1640142726,30,65
1640228166,29,27
1640314804,30,34
1640400729,27,0
1640487129,29,57
1640572327,32,0
1640658005,35,30
1640747526,31,29
1640833216,27,62
1640918648,36,0
1641004325,30,32
1641015850,0,29
1641090007,29,0
1641179769,33,58
1641265209,30,44
1641349448,36,0
1641438725,29,61
1641523927,44,38
1641610817,28,0
1641695526,28,54
1641781446,34,0
1641870249,28,56
1641955928,41,39
1642042086,30,0
1642127771,45,32
1642212969,37,42
1642302968,34,60
1642387927,44,33
1642473124,36,0
1642558568,38,29
1642648328,33,75
1642733288,38,42
1642818729,25,32
1642904646,31,0
1642993925,41,77
1643077204,34,0
1643166246,45,73
1643251449,30,0
1643337606,46,34
1643423286,30,35
1643508971,30,31
1643598247,44,31
1643685126,31,77
1643771286,47,45
1643856730,31,31
1643942172,47,0
1644030247,35,77
1644115687,31,30
1644202820,47,0
1644289214,35,47
1644373928,44,34
1644459367,31,47
1644549369,44,79
1644632650,29,0
1644722170,31,67
1644808566,44,46
1644894009,32,0
1644981366,47,81
1645067284,37,31
1645154110,46,0
1645237709,30,73
1645323606,29,0
1645409863,43,29
1645498330,35,46
1645583530,35,32
1645669926,30,46
1645758968,46,74
1645844888,32,30
1645930331,31,29
1646016011,38,46
1646100971,24,0
1646189770,48,67
1646275689,32,31
1646360886,33,0
1646447048,32,45
1646533450,34,30
1646622491,32,67
1646708890,35,22
1646794090,43,0
1646880247,20,45
1646965450,46,31
1647054973,37,69
1647140648,26,33
1647225846,44,0
1647312965,34,35
1647399609,29,81
1647485525,33,21
1647570724,46,47
1647657372,23,0
1647743050,19,35
1647832325,46,71
1647918723,25,33
1648004163,37,0
1648089124,44,27
1648174566,36,35
1648264083,37,69
1648350004,47,20
1648436165,46,0
1648521124,33,47
1648610165,48,65
1648696086,33,42
1648780809,46,48
1648865769,33,0
1648955049,36,79
1649040245,49,0
1649125926,47,81
1649212565,48,0
1649300885,36,49
1649386085,44,80
1649471767,38,35
1649557924,32,0
1649643365,48,48
1649733127,42,82
1649818567,49,48
1649903769,33,0
1649988964,48,34
1650078485,44,86
1650164649,47,35
1650250567,50,47
1650335764,33,0
1650424566,47,89
1650510017,38,36
1650595446,46,47
1650681366,32,0
1650767289,32,44
1650855845,49,95
1650941770,35,33
1651027206,48,0
1651112648,35,49
1651202164,47,82
1651287365,31,31
1651372808,31,34
1651458487,40,0
1651544405,32,46
1651630565,47,34
1651716968,49,48
1651806248,50,32
1651892648,31,80
1651978327,46,34
1652064008,44,39
1652149924,34,32
1652238249,44,47
