DateTime,Entries,UniqueIPs
1577676638,8219,8383
1577680238,8222,8385
1577683839,8221,8384
1577687438,8224,8387
1577694038,8209,8371
1577697642,8214,8377
1577701253,8208,8371
1577712634,8218,8382
1577716238,8219,8385
1577719239,8224,8390
1577723438,8222,8388
1577727043,8218,8384
1577730635,8222,8389
1577734237,8223,8390
1577737242,8224,8391
1577744442,8226,8393
1577748041,8228,8395
1577752239,8218,8385
1577755836,8221,8388
1577758842,8231,8398
1577762438,8230,8397
1577766037,8235,8402
1577769637,8234,8401
1577773841,8230,8395
1577777439,8236,8401
1577780439,8250,8415
1577784643,8255,8420
1577788237,8256,8421
1577795438,8263,8428
1577802643,8262,8427
1577806241,8261,8427
1577809840,8262,8428
1577813445,8249,8415
1577816440,8252,8418
1577820643,8253,8419
1577824237,8257,8423
1577827838,8261,8427
1577830838,8258,8424
1577834442,8263,8429
1577838636,8273,8440
1577842236,8277,8444
1577845233,8281,8448
1577852436,8273,8441
1577856635,8272,8440
1577860236,8265,8433
1577863840,8270,8438
1577868040,8263,8431
1577879440,8267,8436
1577883034,8260,8430
1577890239,8257,8429
1577897441,8258,8430
1577901639,8255,8427
1577908233,8253,8425
1577911836,8257,8429
1577915435,8252,8425
1577922632,8246,8419
1577929835,8249,8423
1577933434,8247,8421
1577937038,8253,8427
1577940642,8253,8428
1577944239,8248,8422
1577947841,8259,8433
1577952038,8250,8424
1577955636,8256,8431
1577958642,8246,8421
1577965838,8247,8423
1577973038,8240,8415
1577977243,8234,8411
1577983840,8243,8420
1577987439,8249,8426
1577991644,8247,8423
1577995246,8249,8425
1578002440,8257,8433
1578006642,8250,8426
1578010244,8256,8432
1578016245,8258,8432
1578020447,8263,8437
1578024644,8265,8439
1578031243,8265,8439
1578035442,8271,8446
1578040839,8252,8428
1578045040,8256,8432
1578049241,8244,8420
1578052838,8242,8418
1578056437,8239,8415
1578059433,8241,8417
1578064238,8224,8398
1578069632,8221,8395
1578074432,8218,8391
1578078029,8224,8397
1578081631,8218,8391
1578085230,8220,8393
1578088231,8212,8385
1578091830,8222,8396
1578095431,8220,8395
1578099029,8208,8384
1578102630,8210,8386
1578109828,8210,8386
1578114031,8209,8385
1578118235,8209,8385
1578122431,8198,8374
1578126029,8198,8372
1578133830,8198,8372
1578137434,8195,8367
1578141029,8197,8369
1578144633,8184,8356
1578147631,8176,8348
1578151231,8173,8346
1578154831,8172,8343
1578158430,8173,8344
1578162030,8169,8340
1578169229,8160,8331
1578172833,8165,8337
1578176430,8166,8339
1578183631,8285,8461
1578191430,8309,8485
1578195631,8296,8472
1578200432,8319,8496
1578205231,8319,8496
1578210032,8315,8489
1578214832,8318,8492
1578222632,8308,8482
1578227431,8297,8471
1578234630,8300,8474
1578238232,8307,8481
1578241830,8309,8484
1578245431,8328,8503
1578249030,8332,8507
1578252032,8328,8503
1578255629,8347,8522
1578259232,8351,8526
1578263432,8359,8534
1578267030,8363,8538
1578270631,8357,8532
1578274230,8360,8535
1578277832,8349,8524
1578281431,8352,8527
1578285031,8349,8525
1578292230,8332,8508
1578296431,8346,8522
1578301232,8343,8519
1578304231,8355,8531
1578308434,8345,8521
1578312031,8362,8538
1578315631,8369,8545
1578319831,8354,8530
1578324032,8360,8536
1578327631,8363,8539
1578333031,8353,8529
1578337832,8350,8527
1578340830,8358,8537
1578345032,8355,8533
1578349832,8365,8543
1578354032,8362,8541
1578359431,8367,8546
1578364831,8379,8558
1578370231,8385,8563
1578376232,8390,8569
1578381033,8398,8577
1578388233,8415,8594
1578391833,8423,8602
1578397835,8414,8593
1578403234,8410,8588
1578408034,8411,8588
1578414634,8412,8590
