DateTime,AddedIPs,RemovedIPs
1573850423,13,35
1573862422,10,16
1573873821,7,21
1573883421,15,15
1573894823,15,11
1573905623,11,13
1573915822,5,19
1573927221,8,21
1573937421,1,21
1573947621,9,26
1573959621,5,22
1573969820,5,14
1573980020,12,0
1573992619,13,12
1574003419,8,44
1574012419,2,0
1574023818,7,24
1574034618,4,26
1574045417,11,17
1574086822,19,111
1574098823,25,36
1574112622,13,40
1574126421,30,21
1574136621,18,24
1574147420,14,22
1574158824,22,48
1574169623,11,45
1574184023,11,55
1574194222,12,36
1574205022,21,34
1574216421,26,17
1574227221,22,32
1574238023,12,29
1574248822,18,71
1574259022,6,0
1574270421,17,24
1574284221,12,26
1574295633,22,57
1574306421,17,23
1574317820,17,0
1574327423,9,23
1574339423,7,37
1574349022,9,13
1574360421,18,12
1574374221,17,14
1574385020,14,17
1574399420,16,21
1574410823,14,42
1574421622,16,0
1574433022,18,19
1574442622,21,25
1574453421,37,17
1574464221,13,25
1574469620,10,28
1574481020,11,16
1574492419,9,28
1574502622,12,19
1574512823,13,12
1574523022,13,10
1574532622,9,15
1574543421,6,10
1574557221,8,12
1574571021,19,22
1574581820,17,12
1574592623,15,16
1574603422,8,16
1574613622,10,7
1574628022,9,15
1574640622,7,15
1574653821,9,72
1574664020,20,0
1574675423,15,0
1574689222,13,0
1574703023,17,13
1574712622,16,19
1574723421,16,20
1574737821,21,14
1574750423,10,12
1574757023,10,16
1574766622,10,20
1574778022,13,17
1574788822,14,14
1574800221,11,0
1574809821,15,38
1574824220,10,9
1574835620,9,18
1574846423,12,16
1574857822,8,13
1574868622,17,24
1574883021,14,18
1574893821,13,17
1574907021,6,12
1574917820,22,8
1574927419,211,7
1574938223,29,35
1574948427,21,22
1574959822,23,21
1574970622,13,19
1574983225,9,15
1574994024,41,16
1575004823,19,15
1575015026,12,18
1575026422,16,0
1575037822,12,14
1575048021,13,32
1575058825,36,16
1575069021,20,6
1575081620,18,14
1575093620,8,12
1575103822,11,11
1575117622,15,15
1575130221,13,39
1575142222,5,17
1575156622,13,22
1575168621,9,16
1575181820,7,19
1575193223,9,13
1575207022,11,10
1575220823,7,16
1575232223,11,34
1575246021,19,0
1575257421,16,26
1575271820,14,0
1575284423,10,40
1575297022,14,15
1575309622,22,14
1575322822,24,31
1575337221,16,12
1575348020,14,22
1575360023,6,11
1575372626,13,28
1575382223,11,38
1575394222,12,0
1575408622,12,43
1575423021,12,18
1575437420,10,24
1575451823,16,19
1575464422,13,48
1575478822,15,30
1575493221,18,14
1575507021,16,17
1575517220,13,21
1575531020,17,19
1575545422,22,35
1575558022,22,47
1575569422,19,30
1575582021,20,28
1575596420,24,16
1575610220,12,18
1575621623,13,47
1575635422,14,29
1575648622,16,24
1575660621,14,25
1575674421,18,16
1575686420,10,47
1575698420,13,0
1575712822,14,38
1575723622,10,52
1575735622,10,18
1575747021,13,16
1575761421,21,20
1575772820,15,25
1575784820,23,0
1575794423,10,31
1575808822,14,26
1575822622,20,15
1575835221,13,9
1575847821,12,26
1575858621,17,23
1575869419,10,18
1575883823,9,21
1575898222,20,22
1575910222,17,30
1575922222,20,20
1575933021,23,30
1575945625,17,31
1575956421,22,22
1575970823,20,23
1575981623,19,28
1575992422,28,24
1576001422,28,17
1576012222,10,11
1576026621,21,0
1576038021,7,20
1576042820,13,16
1576054224,13,19
1576065022,21,0
1576075222,15,22
1576089022,15,19
1576102221,18,13
1576112420,14,24
1576126820,16,19
1576134021,9,24
1576146620,16,0
1576161019,14,21
1576174818,23,20
1576189218,12,44
1576202417,36,29
1576213217,21,13
1576226423,18,0
1576240222,27,39
1576252222,19,17
1576263622,15,0
1576278021,12,19
1576288821,19,11
1576300219,11,10
1576311024,12,14
1576323023,10,12
1576337423,8,20
1576348222,11,10
1576361422,13,12
1576375220,7,9
1576389620,15,15
1576401622,5,33
1576416022,8,9
1576426821,18,19
1576437621,6,0
1576452021,17,18
1576463420,11,14
1576476020,7,18
1576486823,12,26
1576497023,14,0
1576510222,14,18
1576520421,12,20
1576533022,11,28
1576546820,7,20
1576558822,7,17
1576570824,18,21
1576582226,12,20
1576595423,20,16
1576609822,18,18
1576623622,10,49
1576637422,18,10
1576647621,11,19
1576659624,11,39
1576670423,13,24
1576683022,12,26
1576696822,20,20
1576708222,9,15
1576722622,13,12
1576737020,17,11
1576746623,17,18
1576758622,20,26
1576770022,13,10
1576782022,20,13
1576796424,19,25
1576810821,6,18
1576825221,5,24
1576839624,14,21
1576854023,15,16
1576868425,17,25
1576882821,18,15
1576896021,15,22
1576910421,13,24
1576936825,16,18
1576951222,11,11
1576965621,12,14
1576980027,9,10
1576994426,13,33
1577005828,12,0
1577017827,3,9
1577032227,19,7
1577044827,17,25
1577057426,19,11
1577070629,14,16
1577084421,13,20
1577098826,24,20
1577111430,12,20
1577125834,11,11
1577140227,11,32
1577154022,11,19
1577168422,9,12
1577179826,14,17
1577193030,11,14
1577204424,16,35
1577215823,18,15
1577230229,20,23
1577240425,14,29
1577251827,18,0
1577266229,12,11
1577280626,14,31
1577295027,13,28
1577309423,6,23
1577323826,12,19
1577338225,15,17
1577352624,21,22
1577365228,17,56
1577379627,15,19
1577394025,20,17
1577408425,35,24
1577422825,20,22
1577436631,121,29
1577448029,33,19
1577458825,17,19
1577471424,12,0
1577485828,31,16
1577492426,24,22
1577505624,15,39
1577517627,20,34
1577529032,22,0
1577541624,13,16
1577553026,22,17
1577564424,17,0
1577575826,23,27
1577588425,25,13
1577602826,22,14
1577614828,28,10
1577628030,16,10
1577640624,16,11
1577654427,18,16
1577665823,54,22
1577680225,26,15
1577694028,22,31
1577701230,19,23
1577712624,16,0
1577727029,24,25
1577741427,26,18
1577755822,18,10
1577769624,20,13
1577780426,31,13
1577792429,21,7
1577806228,22,10
1577820629,15,13
1577834430,25,20
1577845222,9,0
1577856623,12,14
1577868028,17,11
1577879430,16,9
1577890228,6,18
1577901628,5,13
1577915424,15,12
1577929825,7,13
1577944226,17,23
1577958630,20,11
1577973026,19,26
1577987425,20,7
1577999426,31,13
1578010228,18,12
1578024625,21,0
1578035425,10,13
1578049228,6,16
1578059424,10,15
1578069623,12,12
1578081622,9,16
1578095422,10,8
1578109820,16,10
1578122420,14,10
1578133823,8,41
1578147624,8,0
1578162023,14,19
1578176422,16,12
1578187822,145,20
1578200421,42,28
1578214824,38,18
1578227423,23,29
1578241822,30,12
1578255621,53,18
1578267022,33,8
1578281422,21,20
1578292221,23,18
1578304224,32,21
1578315622,31,26
1578327623,20,20
1578340822,30,22
1578354022,25,23
1578364821,37,13
1578376221,30,17
1578388224,32,17
1578397824,16,20
1578408023,19,21
1578418822,18,0
1578433222,30,22
1578445222,18,15
1578455421,12,10
1578466221,19,13
1578480623,25,18
1578493822,14,14
1578505822,17,13
1578519622,27,20
1578531021,11,10
1578544221,8,12
1578554421,11,10
1578565224,16,24
1578576624,13,24
1578590424,20,0
1578604822,25,11
1578615621,30,26
1578630022,23,28
1578640221,17,14
1578654623,17,6
1578665422,12,15
1578679223,18,13
1578693622,20,17
1578706823,15,9
1578720021,26,12
1578733823,8,12
1578745223,18,12
1578755422,12,9
1578767423,4,7
1578778222,17,18
1578791422,10,0
1578801021,8,12
1578811220,8,21
1578823824,10,18
1578834623,8,18
1578846623,9,13
1578861022,11,0
1578872422,9,30
1578884421,17,24
1578898221,10,0
1578909623,12,35
1578924024,16,14
1578936023,14,9
1578947423,16,20
1578961822,17,17
1578973221,7,10
1578987021,11,22
1579000223,9,23
1579011623,7,26
1579024223,12,27
1579036222,17,29
1579048222,17,0
1579061424,8,11
1579066821,16,33
1579081224,17,0
1579092624,10,11
1579106423,20,12
1579117823,14,19
1579132222,14,11
1579143622,11,7
1579153222,8,10
1579164025,12,17
1579175424,10,18
1579186224,7,20
1579196424,5,11
1579207223,7,11
1579218023,8,0
1579228822,11,11
1579243222,20,18
1579254024,11,16
1579265423,18,6
1579276823,7,11
1579291223,9,11
1579305023,9,12
1579318821,18,11
1579330221,11,13
1579344024,8,12
1579357823,13,12
1579371623,8,8
1579383623,8,8
1579394423,12,29
1579405222,10,0
1579416021,9,11
1579427425,7,12
1579440624,7,10
1579455024,10,29
1579469424,16,17
1579480822,9,16
1579492822,14,14
1579503022,12,18
1579512024,7,0
1579523424,15,16
1579532425,9,13
1579545023,11,8
1579559423,7,17
1579573222,3,15
1579584625,4,10
1579594824,6,9
1579609230,78,14
1579623625,14,17
1579635024,16,6
1579648821,9,9
1579659623,7,18
1579671623,16,7
1579685432,9,50
1579699232,8,0
1579713626,10,57
1579724427,10,21
1579738826,42,13
1579749626,33,19
1579764025,20,12
1579775427,26,22
1579789826,17,12
1579804227,40,22
1579818027,20,50
1579829425,16,8
1579843225,18,14
1579854628,24,29
1579869028,20,15
1579881629,16,13
1579896028,22,38
1579910428,37,10
1579924828,19,19
1579938027,12,11
1579951228,15,16
1579963228,17,18
1579977027,17,16
1579990827,12,14
1579995026,5,29
1580017225,28,25
