DateTime,AddedIPs,RemovedIPs
1577680231,21,22
1577683832,22,22
1577687430,20,21
1577694031,18,18
1577697633,21,21
1577701233,20,20
1577712627,21,22
1577716230,18,19
1577719231,22,19
1577723430,19,20
1577727033,21,22
1577730628,23,22
1577734229,19,22
1577737232,19,18
1577744432,18,17
1577748030,21,23
1577752230,22,20
1577755825,21,22
1577758831,22,22
1577762430,22,20
1577766029,21,22
1577769628,20,22
1577773831,19,19
1577777429,22,19
1577780430,19,21
1577784633,20,18
1577788229,24,23
1577795430,18,20
1577802632,21,18
1577806231,24,25
1577809832,20,19
1577813435,22,24
1577816433,20,21
1577820634,23,20
1577824229,22,24
1577827828,20,21
1577830830,23,21
1577834435,20,23
1577838629,25,21
1577842229,21,22
1577845227,21,21
1577852428,14,16
1577856629,21,19
1577860229,22,21
1577863833,20,23
1577868032,21,21
1577879432,20,21
1577883028,22,19
1577890231,17,18
1577897433,16,14
1577901633,19,23
1577905232,22,19
1577908228,25,24
1577911828,21,23
1577915429,23,21
1577922627,18,20
1577929829,19,18
1577933428,22,22
1577937031,21,20
1577940633,21,22
1577944230,21,21
1577947832,22,21
1577952030,22,22
1577955626,21,22
1577958633,20,21
1577965829,20,19
1577973029,18,19
1577977232,21,21
1577983830,20,21
1577987430,22,20
1577991630,21,22
1577995233,24,22
1578002431,21,21
1578006632,22,24
1578010232,22,21
1578016232,22,22
1578020433,20,23
1578024631,21,20
1578031232,22,21
1578035432,24,22
1578040830,20,23
1578045032,22,22
1578049232,19,20
1578052830,22,20
1578056429,21,20
1578059427,20,21
1578064230,22,23
1578069626,23,22
1578074427,21,22
1578078025,19,21
1578081626,21,17
1578085226,20,22
1578088226,21,18
1578091826,19,23
1578095426,17,16
1578099025,21,19
1578102626,20,21
1578109824,17,16
1578114027,19,21
1578118230,18,19
1578122426,21,18
1578126025,22,22
1578133825,17,19
1578137427,22,19
1578141025,20,21
1578144628,22,22
1578147626,22,21
1578151226,20,23
1578154826,17,18
1578158426,20,18
1578162026,22,22
