DateTime,AddedIPs,RemovedIPs
1472507402,0,1
1472507701,1,0
1472616601,1,0
1472617501,0,1
1472652002,1,0
1472652902,0,1
1472782501,0,1
1472818202,1,0
1472882101,1,1
1472921101,0,1
1472953502,1,0
1473030602,1,1
1473348601,0,1
1473348901,1,0
1473379201,2,0
1473398101,0,1
1473399001,1,0
1473538502,0,1
1473539102,1,0
1473791101,1,1
1473889501,1,1
1473966002,1,0
1474001102,0,1
1474070402,3,0
1474208702,0,1
1474209001,1,0
1474310702,1,1
1474383002,1,1
1474448701,1,1
1474488002,0,1
1474502401,1,0
1474535401,1,0
1474537802,0,1
1474552202,1,0
1474591501,1,1
1474630202,0,1
1474812002,1,0
1474812601,0,1
1474896301,1,0
1474903502,1,0
1474904702,0,1
1474931102,1,0
1474931701,0,1
1474956902,1,0
1474957801,0,1
1474978501,1,1
1474985702,1,0
1474986301,0,1
1475006101,1,1
1475015101,1,1
1475065501,1,1
1475074502,1,0
1475095202,0,1
1475105102,1,1
1475240701,1,1
1475264101,0,1
1475264701,1,0
1475280301,2,0
1475283905,0,1
1475504101,1,0
1475514302,0,1
1475517902,1,0
1475539202,1,0
1475570702,1,1
1475574002,1,1
1475605801,0,1
1475609703,1,1
1475643001,0,1
1475675702,1,0
1475703301,1,1
1475726700,0,1
1475736301,1,0
1475755502,1,1
1475786702,1,0
1475791202,0,1
1475831401,1,0
1475842502,1,0
1475847901,0,1
1475872502,1,1
1476116702,1,0
1476121502,0,1
1476210302,1,0
1476215102,0,1
1476275402,1,0
1476280502,0,1
1476306001,1,0
1476310501,0,1
1476366302,1,0
1476369002,0,1
1476395101,1,0
1476397802,0,1
1476403202,1,0
1476427501,1,1
1476462902,1,1
1476489602,1,0
1476576002,1,0
1476693301,1,0
1476695101,0,1
1476722102,1,0
1476723902,0,1
1476748801,0,1
1476773101,1,0
1476793801,1,0
1476795000,0,1
1476875402,0,1
1476921602,1,0
1476988201,1,1
1477008001,1,0
1477033802,0,1
1477053602,1,0
1477094701,1,0
1477154401,0,1
1477154702,1,0
1477180802,1,0
1477211102,0,1
1477237502,1,0
1477267202,1,0
1477293902,0,1
1477315801,1,0
1477373702,0,1
1477393801,1,0
1477416901,0,1
1477436702,1,0
1477440001,1,0
1477499701,1,0
1477503902,0,1
1477526402,2,0
1477612804,5,0
1477650902,1,0
1477668301,1,1
1477673102,0,1
1477699201,3,0
1477872001,1,0
1477906801,1,0
1477911301,0,1
1477992602,1,0
1477997102,0,1
1478016902,1,0
1478021402,0,1
1478131202,1,0
1478217601,3,0
1478304002,2,0
1478390401,3,0
1478476802,3,0
1478540702,0,1
1478736002,1,0
1478822701,1,0
1478908801,2,0
1478995202,2,0
1479081602,2,0
1479204602,1,0
1479216901,1,1
1479246602,1,1
1479332702,1,1
1479340802,2,0
1479400202,1,1
1479421502,1,1
1479427201,1,0
1479466502,1,0
1479470402,1,1
1479516301,0,1
1479539102,1,0
1479588002,0,1
1479588301,1,0
1479600001,1,0
1479705901,0,1
1479737101,1,1
1479885301,1,1
1479902101,1,1
1479920102,1,1
1479985201,0,1
1480118402,1,0
1480152301,1,0
1480161302,1,1
1480291201,2,0
1480327801,1,1
1480333502,1,0
1480401901,1,0
1480416302,0,1
1480416602,0,1
1480504501,1,0
1480520701,0,1
1480526701,1,0
1480542302,1,1
1480548301,0,1
1480550402,1,0
1480589401,1,1
1480606202,1,0
1480612202,0,1
1480636802,2,0
1480690802,1,0
1480697102,0,1
1480859401,1,0
1480884301,0,1
1480931101,1,0
1480936201,0,1
1480962301,1,0
1480966502,1,1
1481017801,0,1
1481049002,1,1
1481177702,0,1
1481526301,1,0
1481564700,0,1
1481846401,3,0
1481932801,1,0
1482019202,2,0
1482105602,2,0
1482364802,1,0
1482537602,3,0
1482796802,2,0
1482969601,2,0
1483056002,1,0
1483142401,3,0
1483228800,2,0
1483315202,1,0
1483488002,1,0
1483574402,2,0
1483660802,1,0
1484179202,1,0
1487063102,1,0
1487076902,1,1
1487088302,1,0
1487092202,1,2
1487103602,1,0
1487152801,1,1
1487182502,0,1
1487194202,1,0
1487404801,0,1
1487426402,1,0
1487439301,1,1
1487497502,0,1
1487509502,1,0
1487523601,0,1
1487523901,1,0
1487575501,0,1
1487587501,1,0
1487621702,0,1
1487622001,1,0
1487648702,0,1
1487649002,1,0
1487691602,1,1
1487703301,0,1
1487761202,1,1
1487772001,1,0
1487784601,1,1
1487841602,2,2
1488102902,1,0
1488103501,1,2
1488195602,1,0
1488195902,1,2
1488226502,0,1
1488260102,1,0
1488273901,1,0
1488274202,0,2
1488289801,1,0
1488313202,1,0
1488313801,1,2
1488355801,1,0
1488356701,1,2
1488375302,1,0
1488375902,0,2
1488396601,1,0
1488396901,1,1
1488432602,0,1
1488452100,1,0
1488452702,1,1
1488477002,1,0
1488477601,1,2
1488514802,0,1
1488515101,1,0
1488534602,1,0
1488535202,1,2
1488549002,2,2
1488552602,1,0
1488553201,1,2
1488562201,1,0
1488562502,1,1
1488563101,1,1
1488576602,1,1
1488577201,1,2
1488594602,0,1
1488594902,1,0
1488697201,0,1
1488697502,1,0
1488705902,0,1
1488706201,1,0
1488798601,1,1
1488798902,1,1
1488820202,1,0
1488820801,1,2
1488880202,1,1
1488900901,1,0
1488903902,1,0
1488904502,0,1
1488905100,0,1
1488926701,0,1
1488964501,1,1
1488969001,1,0
1488969302,0,1
1489060502,0,1
1489142701,1,0
1489168502,1,1
1489237801,1,1
1489405501,1,1
1489476602,1,1
1489497601,1,1
1489515301,1,1
1489524602,0,1
1489708802,4,0
1489795202,1,0
1490054402,1,0
1490227202,1,0
1490313602,1,0
1490400002,1,0
1490486402,2,0
1490745601,2,0
1490832002,2,0
1490918702,4,0
1491005101,5,0
1491091202,3,0
1491177900,11,0
1491437102,4,0
1491523202,3,0
1491609602,2,0
1491782402,2,0
1491868802,1,0
1492041601,1,0
1492128001,3,0
1493642102,1,0
1493669402,1,1
1493733902,0,1
1493915101,1,0
1493925602,1,1
1493942702,0,1
1496275502,2,0
1496534402,2,0
1498307101,0,221
1501367701,0,0
1505429101,0,0
1505431202,0,0
1521541501,1,0
1523929502,1,0
1524093602,0,0
1524096901,0,0
1524124202,0,0
1524861302,0,1
1524861901,1,0
1524921601,0,1
1524921902,1,0
1525921502,0,1
1525922401,1,0
1526309101,0,0
1526313002,0,1
1526313302,1,0
1527289502,0,0
1527291602,0,0
1527298502,0,0
1527300001,0,0
1527301202,0,0
1527302402,0,0
1527303601,0,0
1527304802,0,0
1527306002,0,0
1527307502,0,0
1527308401,0,0
1527309902,0,0
1527311402,0,0
1527313202,0,0
1527314402,0,0
1527315602,0,0
1527316501,0,0
1527318901,0,0
1527321002,0,0
1527322201,0,0
1527323402,0,0
1527324601,0,0
1527325502,0,0
1527326702,0,0
1527327602,0,0
1527331201,0,0
1527332101,0,0
1527333302,0,0
1527334501,0,0
1527336002,0,0
1527337201,0,0
1527338402,0,0
1527339602,0,0
1527340802,0,0
1527342602,0,0
1527343802,0,0
1527346802,0,0
1527348602,0,0
1527351301,0,0
1527353101,0,0
1527354901,0,0
1527355802,0,0
1527357002,0,0
1527358202,0,0
1527360302,0,0
1527361802,0,0
1527362702,0,0
1527365402,0,0
1527368402,0,0
1527369902,0,0
1527371402,0,0
1527375902,0,0
1527377402,0,0
1527378902,0,0
1527381301,0,0
1527382501,0,0
1527384301,0,0
1527386102,0,0
1527387302,0,0
1527388201,0,0
1527390001,0,0
1527390902,0,0
1527393001,0,0
1527394202,0,0
1527396002,0,0
1527397202,0,0
1527399301,0,0
1527912302,0,0
1527914401,0,0
1527916801,0,0
1527919201,0,0
1527923702,0,0
1527925202,0,0
1527926101,0,0
1527927602,0,0
1527928801,0,0
1527930001,0,0
1527930901,0,0
1527933302,0,0
1527934202,0,0
1527935401,0,0
1527937201,0,0
1527939301,0,0
1527940501,0,0
1527941701,0,0
1527943802,0,0
1527945002,0,0
1527946202,0,0
1527947402,0,0
1527948302,0,0
1527949201,0,0
1527950401,0,0
1527951601,0,0
1527952802,0,0
1527954002,0,0
1527955202,0,0
1527956402,0,0
1527957602,0,0
1527958501,0,0
