DateTime,AddedIPs,RemovedIPs
1511716254,34,45
1511737879,88,0
1511763153,31,63
1511783913,87,42
1511802628,38,79
1511824176,71,42
1511849217,40,75
1511872633,86,116
1511889235,26,37
1511910323,74,75
1511935672,37,35
1511955907,76,80
1511975541,28,34
1511996656,76,74
1512022407,30,0
1512043778,83,131
1512061568,28,0
1512085358,66,128
1512108566,26,49
1512128883,74,0
1512148066,23,68
1512168755,76,30
1512195040,23,66
1512215195,71,107
1512234331,18,43
1512258213,76,69
1512281148,29,0
1512304681,63,100
1512320964,24,48
1512342240,54,76
1512367575,30,0
1512390353,75,45
1512407532,23,100
1512427985,59,0
1512454196,27,72
1512474842,68,36
1512493913,21,70
1512515191,74,38
1512540351,23,75
1512563234,59,35
1512580059,24,72
1512601160,63,32
1512626890,22,70
1512647482,72,115
1512666540,18,0
1512687305,71,35
1512713239,25,67
1512733883,62,31
1512752667,19,67
1512776804,63,99
1512799968,20,33
1512819326,66,0
1512839333,20,106
1512860555,61,0
1512885622,18,97
1512908493,51,0
1512925438,25,50
1512949503,67,89
1512972411,19,0
1512995312,57,100
1513012232,24,37
1513032586,76,0
1513058446,18,58
1513081212,54,26
1513098151,23,95
1513121386,52,64
1513144748,24,0
1513167323,61,37
1513184717,17,56
1513207530,51,75
1513231245,18,33
1513253829,63,0
1513271114,19,99
1513294763,73,0
1513317280,21,67
1513339738,52,15
1513357139,12,90
1513380423,66,0
1513403931,22,51
1513426439,59,28
1513443651,12,58
1513467061,63,75
1513490296,15,0
1513512243,59,78
1513529777,18,0
1513552812,64,35
1513576287,19,76
1513594761,51,0
1513615948,27,55
1513635158,85,30
1513662718,20,63
1513682052,55,26
1513702616,13,49
1513721793,46,30
1513749135,26,77
1513768461,60,0
1513788491,11,79
1513807893,66,0
1513835294,23,47
1513854263,53,26
1513874817,33,85
1513894221,88,0
1513921797,32,68
1513940454,53,0
1513961312,18,54
1513981115,55,34
1514008134,20,58
1514026634,64,19
1514048616,32,54
1514068452,93,30
1514095169,42,54
1514114393,57,26
1514134336,28,82
1514154081,84,0
1514181438,29,67
1514199931,62,0
1514220679,29,92
1514240753,83,72
1514268223,31,18
1514287065,56,56
1514307412,19,22
1514326845,80,52
1514354347,32,0
1514373594,72,24
1514393807,10,79
1514417424,48,66
1514440973,31,0
1514459913,61,80
1514479964,32,33
1514499324,85,0
1514526616,30,94
1514545346,56,61
1514566598,23,26
1514585940,86,0
1514613444,26,74
1514632313,41,59
1514652943,28,36
1514672701,91,0
1514699826,32,118
1514718581,55,55
1514739250,35,36
1514759063,88,76
1514786055,47,0
1514805614,63,95
1514825863,56,0
1514845968,78,110
1514872573,43,0
1514891748,54,21
1514912113,37,86
1514931505,78,76
1514958472,52,0
1514977844,66,99
1514998241,37,0
1515017611,89,21
1515045461,41,85
