DateTime,AddedIPs,RemovedIPs
1485450755,2279,2515
1485454316,1645,1840
1485457952,1539,1256
1485461515,1565,1129
1485465020,1212,1314
1485468711,968,960
1485472321,934,707
1485475937,896,637
1485479531,957,688
1485483098,935,655
1485486717,711,841
1485490313,749,1089
1485493916,886,2287
1485497496,1239,1835
1485501149,1217,1888
1485504608,1096,1773
1485508378,2605,2125
1485512022,2485,1856
1485515526,1894,1588
1485519159,1385,1575
1485522763,1042,1982
1485526357,1219,2020
1485529939,1567,1826
1485533566,3197,1899
1485537177,2589,2081
1485540775,2254,2133
1485544365,1527,1618
1485547951,1438,1704
1485551531,1378,1511
1485555130,1366,1115
1485558739,1184,1110
1485562184,821,1218
1485565907,952,1087
1485569526,986,1831
1485573001,1122,1157
1485576728,1103,1233
1485580237,1294,1081
1485583934,1338,1117
1485587552,1090,1121
1485591120,868,1338
1485594685,1488,1749
1485598370,1161,1556
1485601923,2264,1276
1485605552,2456,1555
1485609130,1808,2065
1485612656,2086,2055
1485616351,1609,1809
1485619929,1599,1632
1485623506,1231,3542
1485627009,1093,2222
1485630720,1265,1666
1485634321,1389,1537
1485637932,1295,1503
1485641522,880,1222
1485645117,532,880
1485648738,561,942
1485652280,590,943
1485655897,633,1018
1485659482,887,880
1485663124,660,701
1485666719,1371,772
1485670339,1292,903
1485673946,1175,1310
1485677410,1194,1185
1485681145,1431,1134
1485684759,1140,2562
1485688260,1232,2466
1485691964,1218,1909
1485695558,1257,1332
1485699120,1474,1092
1485702708,1237,1178
1485706331,1430,1617
1485709943,1094,3258
1485713526,1065,2552
1485717123,1371,2157
1485720728,905,1588
1485724290,1068,1405
1485727951,1053,1305
1485731514,821,1471
1485735097,832,1095
1485738700,791,816
1485742289,922,906
1485746036,891,866
1485749526,964,1060
1485753111,1112,956
1485756725,1886,1221
1485760370,1658,1166
1485763976,1708,1032
1485767546,12,891
1485770991,14,1527
1485774605,18,1030
1485778158,28,2402
1485781806,9,2348
1485785631,9268,1999
1485789146,3517,2054
1485792779,2882,1595
1485796419,2669,1537
1485799990,2000,1259
1485803605,716,1110
1485807152,651,1223
1485810710,1036,1467
1485814311,1102,1290
1485817927,1070,861
1485821534,1002,535
1485825105,856,546
1485828686,873,596
1485832280,886,596
1485835954,1006,833
1485839499,1617,617
1485843137,1221,1420
1485846742,1096,1211
1485850304,1128,1182
1485853925,1237,1227
1485857570,1219,1382
1485861202,1792,1173
1485864770,1628,1283
1485868372,1582,1223
1485871943,1636,1246
1485875551,1822,1520
1485878946,1530,1254
1485882735,1576,1431
1485886361,1256,1094
1485889899,1162,1139
1485893499,938,1336
1485897144,819,936
1485900697,924,1111
1485904312,1166,1026
1485907888,1100,808
1485911558,1219,813
1485915151,1064,766
1485918690,1076,943
1485922266,1166,881
1485925907,991,993
1485929507,1128,1034
1485933107,1454,1952
1485936772,1418,1613
1485940324,1256,1690
1485943940,1453,1562
1485947533,1762,1276
1485951115,1963,1041
1485954736,1614,1374
1485958373,1291,1710
1485961941,1233,2143
1485965522,1353,3598
1485969140,1428,2846
1485972709,1113,2663
1485976259,995,1916
1485979907,901,718
1485983514,984,618
1485987156,923,1115
1485990693,890,1144
1485994323,792,1049
1485997894,1333,973
1486001499,1184,878
1486005082,1090,903
1486008719,1126,946
1486012289,1198,1021
1486015921,1306,1683
1486019527,1240,1229
1486023097,1513,1095
1486026735,2350,1176
1486030345,1573,1302
1486033935,1212,1235
1486037584,1342,1777
1486041111,872,1710
1486044752,956,1701
1486048386,891,1611
1486051899,1004,1894
1486055543,1710,1706
1486059186,1297,1419
1486062704,929,1300
1486066306,839,1184
1486069906,706,945
1486073474,582,836
1486077101,695,1032
1486080680,1028,1197
1486084290,883,1145
1486087885,833,1289
1486091489,1278,1047
1486095091,1382,1150
1486098679,1127,1179
1486102316,1492,1014
1486105933,1340,1181
1486109541,1327,1433
1486113197,1474,1438
1486116740,1198,1278
1486120349,1608,1460
1486123971,1298,1873
1486127509,845,1952
1486131085,1470,1554
1486134755,2751,1394
1486138341,1081,1331
1486141950,1002,1424
1486145592,778,1368
1486149111,795,1148
1486152680,789,1032
1486156302,818,896
1486159885,775,966
1486163544,964,961
1486167090,977,862
1486170677,852,812
1486174329,1095,1321
1486177948,933,1179
1486181513,904,1075
1486185072,981,1166
1486188695,839,1180
1486192307,892,1398
1486195959,1254,1188
1486199542,1312,1648
