DateTime,AddedIPs,RemovedIPs
1485450756,1335,1090
1485454316,914,972
1485457953,746,631
1485461516,775,646
1485465021,622,680
1485468712,452,808
1485472322,421,949
1485475937,448,681
1485479531,479,538
1485483099,481,755
1485486718,381,619
1485490314,381,780
1485493916,487,879
1485497496,687,897
1485501150,678,862
1485504608,656,828
1485508379,1560,776
1485512022,1494,1045
1485515526,1180,1273
1485519160,809,843
1485522763,596,1210
1485526357,694,966
1485529939,917,984
1485533567,1991,1717
1485537178,1583,1488
1485540775,1355,1205
1485544366,853,740
1485547952,759,763
1485551531,612,598
1485555131,580,658
1485558740,572,990
1485562184,377,879
1485565908,460,690
1485569527,494,685
1485573001,535,663
1485576729,591,813
1485580238,749,920
1485583935,825,1327
1485587553,664,1080
1485591121,527,968
1485594686,866,966
1485598371,669,1081
1485601923,1333,910
1485605552,1455,1167
1485609131,1141,1265
1485612657,1296,1182
1485616352,941,1177
1485619930,914,1463
1485623507,567,675
1485627010,555,346
1485630720,607,346
1485634322,689,341
1485637933,659,314
1485641522,463,311
1485645117,258,241
1485648739,251,257
1485652280,302,272
1485655897,324,298
1485659483,450,537
1485663125,348,660
1485666719,827,454
1485670339,789,399
1485673947,716,364
1485677411,748,353
1485681145,867,374
1485684760,630,519
1485688260,701,1046
1485691965,729,974
1485695559,696,1360
1485699121,880,2099
1485702709,761,1589
1485706332,820,1062
1485709944,660,1044
1485713527,611,1888
1485717124,749,1343
1485720728,473,804
1485724291,423,673
1485727951,428,574
1485731514,336,486
1485735098,343,508
1485738700,333,475
1485742290,404,932
1485746036,366,709
1485749527,473,744
1485753111,560,820
1485756725,982,858
1485760371,801,1095
1485763976,858,848
1485767546,12,935
1485770991,15,1116
1485774606,16,1378
1485778159,22,1219
1485781807,27,1241
1485785631,4088,1336
1485789146,1607,1376
1485792780,1419,1493
1485796420,1380,1798
1485799991,1024,1075
1485803606,307,900
1485807153,332,1025
1485810710,536,1054
1485814312,482,876
1485817927,490,665
1485821535,438,543
1485825105,393,448
1485828686,405,568
1485832280,440,669
1485835955,538,936
1485839500,990,997
1485843138,703,1392
1485846743,584,1921
1485850304,648,1840
1485853926,644,1722
1485857570,758,2079
1485861202,1071,2144
1485864770,939,1285
1485868372,879,936
1485871944,934,940
1485875552,1064,1083
1485878947,942,1183
1485882735,881,886
1485886361,706,811
1485889899,657,865
1485893500,538,616
1485897144,460,562
1485900698,511,491
1485904312,519,383
1485907888,505,406
1485911558,514,475
1485915151,486,376
1485918691,495,517
1485922267,558,686
1485925908,500,658
1485929508,634,571
1485933107,857,550
1485936773,863,629
1485940325,666,524
1485943940,807,579
1485947534,972,477
1485951115,1096,1190
1485954737,897,953
1485958374,708,1073
1485961941,597,980
1485965523,703,998
1485969141,678,874
1485972710,552,806
1485976259,524,643
1485979907,438,776
1485983514,424,522
1485987156,450,473
1485990693,364,396
1485994324,369,389
1485997894,626,429
1486001499,545,518
1486005082,552,807
1486008720,627,764
1486012290,630,895
1486015922,722,1105
1486019527,701,891
1486023098,901,1092
1486026736,1336,800
1486030345,867,806
1486033936,650,834
1486037584,690,897
1486041111,319,1169
1486044752,524,804
1486048387,442,870
1486051899,517,1048
1486055544,890,1224
1486059186,654,1476
1486062705,466,1414
1486066306,438,1025
1486069907,378,1078
1486073474,256,703
1486077101,304,559
1486080681,486,478
1486084291,429,500
1486087886,431,703
1486091489,647,1031
1486095092,679,710
1486098679,609,831
1486102316,901,1087
1486105934,821,777
1486109541,827,962
1486113197,852,800
1486116741,687,796
1486120349,940,1053
1486123971,773,1079
1486127511,425,1131
1486131085,745,1388
1486134756,1608,1167
1486138342,531,1047
1486141951,483,988
1486145593,375,985
1486149112,405,856
1486152680,437,1158
1486156303,432,986
1486159886,413,621
1486163544,415,550
1486167091,421,637
1486170677,351,546
1486174330,533,555
1486177948,484,650
1486181513,507,695
1486185072,518,758
1486188695,398,830
1486192308,514,863
1486195959,724,1094
1486199542,753,933
1486203185,946,1077
1486206714,623,860
1486210336,596,1041
1486213942,673,1033
1486217575,424,989
1486221075,338,1158
1486224696,401,921
1486228280,471,708
1486231900,682,737
1486235505,505,761
1486239174,352,598
1486242718,275,656
1486246297,205,343
1486249905,218,492
1486253482,271,520
1486257093,220,458
1486260696,333,445
1486264271,304,449
1486267884,390,495
1486271501,299,524
1486275072,942,583
1486278698,554,726
1486282305,435,717
1486285896,458,569
1486289496,631,1039
1486293194,810,937
1486296749,722,1237
1486300306,617,1511
1486303877,673,1212
1486307504,1138,1407
1486311115,754,1342
1486314694,545,1252
1486318324,324,860
1486321915,286,848
1486325460,359,727
1486329113,409,582
1486332699,429,861
1486336118,374,1693
1486339897,314,929
1486343500,254,670
1486347067,345,875
1486350726,191,788
1486354334,309,821
1486357908,269,1431
1486361484,391,874
1486365134,358,1269
1486368258,368,6
1486372348,958,2482
1486375938,843,1365
1486379551,634,1059
1486383114,676,1210
1486386729,586,1141
1486390324,724,1352
1486393992,1007,1538
1486397587,751,1296
1486401133,1007,1181
1486404750,623,1284
1486408370,631,989
1486411885,510,827
1486415541,461,757
1486419176,634,860
1486422699,439,833
1486426283,423,622
1486429957,407,805
1486433581,466,702
1486437168,357,747
1486440681,501,947
1486444290,459,895
1486447865,749,1142
1486451385,725,1537
1486455068,439,1048
1486458768,414,1386
1486462358,403,1012
1486465774,431,1217
1486469324,731,957
1486473005,662,899
1486476925,625,822
1486480292,425,1322
1486483985,554,1595
1486487507,560,900
1486490993,505,718
1486494677,420,711
1486498302,367,543
1486501769,302,447
1486505457,222,283
1486509084,230,187
1486512680,211,382
1486516259,206,510
1486519771,259,460
1486523533,405,459
1486526918,395,514
1486530697,407,437
1486534150,346,569
1486537955,393,746
1486541517,397,428
1486544922,362,609
1486548892,312,698
1486552310,315,642
1486555859,580,795
1486559487,692,792
1486563097,494,1090
1486566776,492,1021
1486570292,439,927
1486573903,382,961
1486577473,392,818
1486581101,377,546
1486584697,257,806
1486588284,260,696
1486591941,521,492
1486595484,681,532
1486599113,477,629
1486602681,298,397
1486606273,323,570
1486609891,392,801
1486613481,318,542
1486617101,401,655
1486620701,359,805
1486624285,489,725
1486627904,880,566
1486631541,1313,618
1486635105,1075,559
1486638713,1025,1118
1486642314,679,1902
1486645922,573,1072
1486649493,660,1128
1486653115,451,1339
1486656708,744,1119
1486660363,625,1028
1486663930,510,3227
1486667527,317,1426
1486670988,355,884
1486674703,290,863
1486678280,334,747
1486681877,390,622
1486685459,331,635
1486689099,430,593
1486692582,506,606
1486696289,421,588
1486699750,338,463
1486703487,364,587
1486707090,278,580
1486710717,294,930
1486714266,310,1653
1486717928,374,1243
1486721382,634,2053
1486725115,510,1643
1486728595,737,1425
1486732346,771,944
1486735915,908,2053
1486739557,906,1874
1486743063,559,1325
1486746742,967,1881
1486750281,592,1706
1486753918,432,1479
1486757511,380,879
1486761088,334,817
1486764699,283,733
1486768321,110,649
1486771829,22,526
1486775443,15,502
1486779013,11,548
1486782641,24,561
1486786189,17,780
1486789843,10,879
1486793311,18,651
1486796999,12,713
1486800586,18,696
1486804242,18,479
1486807795,23,1284
1486811455,14,1120
1486814968,23,1249
1486818630,17,1413
1486822207,18,1413
1486825830,30,1374
1486829391,22,1221
1486832986,23,1243
1486836587,28,1186
1486840241,19,813
1486843822,7,803
1486847444,16,943
1486850997,27,708
1486854660,19,567
1486858100,11,559
1486861821,11,522
1486865401,21,572
1486869050,30,600
