DateTime,AddedIPs,RemovedIPs
1457903597,1153,0
1457990676,9121,136185633
1458077795,136182346,9121
1458164912,1048,0
1458252051,0,184
1458426263,2487,0
1458513382,0,2942
1458600511,1142,0
1458687624,2576,0
1458774811,1231,0
1458861907,0,5448
1458992654,0,582
1459079747,2807,0
1459166940,0,104055027
1459254048,104056107,0
1459428526,0,2519
1459515889,0,1423
1459602999,319,0
1459690122,1033,0
1459777221,3181,0
1459864367,0,3430
1459951465,4566,0
1460038623,0,4621
1460125732,0,800
1460212854,0,450
1460299959,3777,0
1460387121,0,208
1460474212,0,1895
1460561322,1815,0
1460648437,2039,0
1460822925,0,4455
1460910040,209,0
1460997940,5072,0
1461084983,0,5826
1461217229,4328,0
1461304338,0,4121
1461391467,5554,0
1461522253,0,2207
1461609399,0,83
1461696541,0,3277
1461783667,1047,0
1461870749,3086,0
1462044985,0,127
1462132125,960,0
1462220942,0,167
1462351705,0,3512
1462438824,2886,0
1462525951,0,1400
1462613069,0,1912
1462743857,2368,0
1462831017,1858,0
1462918115,0,5313
1463005213,6250,0
1463092381,0,5409
1463179478,0,96
1463266575,254,0
1463353714,1504,0
1463440831,2987,0
1463527949,0,5498
1463615061,3465,0
1463702192,1784,0
1463789300,0,33
1463876450,1015,0
1463963694,0,5160
1464050698,2705,0
1464137792,0,2566
1464224910,1248,0
1464312010,2109,0
1464399149,0,1046
1464486263,1287,0
1464573382,0,3678
1464660539,0,117948668
1465706938,117950843,0
1465794043,0,3514
1465881414,2578,0
1465968510,1848,0
1466055643,0,2744
1466186250,134,0
1466404381,978,0
1466578593,0,2553
1466665706,785,0
1466752820,112,0
1466839982,1376,0
1466927089,0,1929
1467101314,0,926
1467188418,0,117946988
1467275560,117952091,0
1467362680,984,0
1467449868,0,3376
1467536908,3424,0
1467624016,0,2695
1467711158,1247,0
1467798266,0,2536
1467885401,0,455
1467972512,3942,0
1468059615,0,94
1468146756,0,4473
1468321248,0,890
1468452016,5144,0
1468539154,778,0
1468626275,0,3289
1468713389,3977,0
1468800507,0,1754
1468887619,0,2055
