DateTime,AddedIPs,RemovedIPs
1625722924,0,6
1625723524,2,0
1625726524,2,0
1625727125,1,1
1625727725,3,0
1625728925,6,0
1625730725,3,2
1625731325,1,0
1625732525,0,2
1625736125,2,1
1625736726,1,0
1625737325,0,1
1625738525,3,1
1625739125,1,0
1625742125,2,1
1625743325,1,0
1625744525,0,1
1625745725,0,1
1625746925,0,1
1625748725,1,4
1625749325,0,2
1625749925,1,0
1625751725,3,0
1625753525,3,0
1625754124,3,11
1625754725,2,0
1625756524,2,0
1625757725,4,0
1625758325,2,0
1625759524,1,2
1625760125,1,0
1625761325,1,0
1625761924,1,0
1625763724,1,0
1625764924,1,0
1625766724,2,6
1625767324,0,13
1625767924,0,16
1625768524,1,18
1625770325,1,8
1625771524,1,0
1625772125,2,1
1625773924,1,0
1625776325,1,1
1625778125,6,0
1625779325,1,0
1625780524,1,1
1625781724,0,1
1625782925,3,0
1625783524,2,0
1625784124,1,0
1625785924,1,0
1625786525,1,1
1625788925,7,1
1625790724,0,1
1625791325,3,0
1625792525,9,0
1625794925,1,0
1625796124,2,1
1625797325,4,2
1625797925,10,0
1625799124,0,1
1625800924,4,0
1625802124,2,0
1625802725,7,0
1625803925,1,0
1625804525,2,0
1625805725,1,0
1625806925,6,1
1625807526,3,2
1625808125,3,0
1625809325,5,0
1625809925,3,0
1625810524,2,1
1625812326,4,2
1625814725,2,1
1625815325,0,1
1625817724,5,0
1625818925,1,6
1625820124,2,0
1625821325,1,0
1625822525,0,3
1625823125,1,0
1625823725,2,0
1625824925,3,0
1625825524,2,0
1625826725,14,0
1625827325,8,0
1625827924,4,0
1625828525,6,0
1625829125,3,0
1625829725,2,0
1625830325,1,0
1625831525,3,0
1625832724,9,0
1625833325,4,0
1625834525,4,0
1625835125,3,0
1625835725,8,0
1625836324,2,0
1625836924,4,0
1625837525,1,0
1625838124,1,2
1625841126,4,1
1625841724,1,0
1625842325,1,0
1625842924,1,0
1625843524,0,1
1625845325,1,0
1625845924,0,2
1625846524,1,0
1625850124,1,1
1625851925,0,12
1625852525,2,0
1625853724,0,21
1625856124,1,0
1625857325,1,1
1625858525,1,0
1625859724,1,0
1625860324,3,1
1625861525,9,0
1625862725,3,2
1625863924,1,1
1625865125,1,1
1625865724,1,0
1625867524,2,0
1625868124,1,0
1625868724,5,1
1625869925,1,0
1625871725,0,4
1625872924,1,2
1625875325,2,0
1625875925,1,0
1625877725,1,2
1625878324,3,1
1625880124,1,2
1625881325,3,3
1625881925,4,0
1625883724,2,0
1625884325,0,1
1625884925,38,1
1625885524,3,0
1625887325,1,2
1625888525,0,1
1625889725,2,0
1625892124,2,0
1625893324,1,0
1625895125,1,1
1625895724,1,0
1625896325,0,1
1625896925,1,0
1625899325,2,0
1625901124,29,0
1625901725,1,3
1625902924,3,0
1625905325,0,1
1625906525,0,1
1625907724,8,2
1625908925,1,0
1625910125,0,3
1625911324,1,0
1625912525,1,0
1625913125,1,1
1625914924,0,1
1625916726,2,2
1625917925,1,0
1625918525,1,0
1625919125,1,0
1625920925,0,1
1625922125,0,3
1625922725,0,2
1625923926,0,1
1625925125,1,2
1625925725,0,2
1625926325,0,2
1625928125,1,0
1625928725,1,0
1625929325,0,2
1625931125,1,0
1625931725,2,0
1625932325,0,1
1625934125,2,1
1625935325,1,0
1625936525,0,1
1625937125,2,0
1625938326,3,6
1625938924,2,2
1625941925,2,1
1625942525,1,1
1625944325,1,0
1625944925,2,0
1625945525,3,1
1625946125,0,2
1625947925,0,1
1625949725,0,3
1625951525,1,1
1625952726,2,0
1625953325,2,3
1625954525,0,1
1625956325,1,0
1625956925,0,1
1625958125,0,1
1625959926,0,1
1625960525,1,1
1625962925,3,3
1625964725,3,1
1625965325,2,0
1625966525,1,2
1625967125,4,0
1625968325,0,8
1625969525,0,1
1625970725,1,0
1625971324,1,0
1625971925,0,2
1625973125,3,1
1625973725,0,1
1625974325,1,0
1625975525,2,4
1625976125,0,1
1625976725,1,0
1625977925,1,2
1625979725,0,2
1625980325,1,0
1625980925,1,0
1625982125,2,5
1625983325,1,0
1625985125,2,1
1625986925,0,1
1625987525,0,2
1625988125,1,0
1625988725,0,3
1625989924,0,1
1625991124,1,0
1625994124,0,1
1625995325,1,2
1625996525,1,0
1625998325,2,2
1625998925,3,3
1625999525,2,0
1626000725,1,0
1626001324,1,0
1626001924,1,0
1626002525,1,0
1626003725,2,1
1626006126,1,0
1626008525,1,1
1626009126,1,4
1626010326,1,3
1626012125,2,5
1626013925,0,2
1626015125,2,0
1626016325,1,1
1626016925,3,0
1626019325,0,1
1626020525,1,0
1626021126,1,0
1626022325,0,2
1626022925,1,0
1626024126,0,2
1626025325,3,0
1626027126,1,0
1626027726,1,0
1626028326,1,2
1626028925,0,26
1626030725,0,17
1626032525,0,8
1626037326,1,0
1626040326,0,1
1626042126,1,0
1626043325,0,1
1626046326,1,1
1626046926,1,0
1626047526,0,2
1626049326,1,1
1626049926,0,1
1626051126,5,2
1626052326,0,1
1626052926,1,1
1626054126,0,1
1626056526,1,3
1626057126,0,2
1626057726,2,0
1626058926,0,3
1626060126,0,3
1626060727,0,1
1626062526,1,3
1626063126,0,4
1626063726,1,0
1626064326,0,1
1626065526,1,0
1626066126,0,4
1626067926,0,2
1626069726,0,9
1626072126,2,1
1626072726,0,4
1626073925,0,1
1626075726,3,2
1626077526,0,2
1626078726,1,0
1626079926,2,0
1626081126,2,0
1626081725,0,1
1626082326,2,1
1626084725,1,4
1626086526,2,0
1626088925,1,2
1626090726,0,1
1626091325,1,0
1626092525,1,0
1626094326,1,0
1626094925,2,5
1626095525,1,0
1626097925,1,1
1626099126,0,1
1626099726,3,0
1626100926,2,2
1626101528,0,3
1626102128,2,3
1626103328,1,4
1626103929,0,2
1626105728,2,7
1626106328,1,0
1626107528,0,4
1626109328,0,3
1626110528,1,0
1626111728,0,5
1626112928,1,0
1626113528,0,2
1626114728,1,0
1626115328,1,0
1626115929,1,0
1626117128,0,3
1626117728,1,0
1626118328,1,0
1626120128,0,1
1626121329,1,4
1626122528,0,1
1626123728,0,1
1626124928,2,0
1626125528,0,1
1626126128,3,0
1626130328,0,1
1626131527,1,1
1626132127,1,0
1626133328,1,0
1626133928,3,0
1626134528,1,1
1626137528,1,1
1626138128,4,2
1626138728,5,0
1626140528,0,1
1626141128,1,0
1626142328,1,0
1626144128,1,0
1626145327,0,7
1626145927,1,0
1626146528,1,0
1626148928,1,1
1626153128,0,1
1626154928,3,0
1626156128,0,1
1626159128,1,6
1626159727,1,0
1626161528,1,0
1626165128,0,6
1626165727,1,0
1626168128,2,0
1626169328,2,3
1626170527,1,0
1626172928,0,3
1626174127,1,0
1626175327,1,0
1626176528,0,2
1626177127,1,3
1626177727,2,0
1626178327,1,0
1626179527,1,1
1626180727,0,1
1626183727,2,4
1626184927,1,0
1626186128,0,2
1626186728,1,12
1626187927,2,0
1626188527,0,3
1626189127,0,7
1626190927,2,3
1626191527,0,2
1626193327,1,6
1626193927,0,1
1626194527,1,0
1626195127,1,5
1626196927,2,5
1626198126,0,2
