DateTime,AddedIPs,RemovedIPs
1624542302,363,0
1624545002,161,0
1624545902,33,0
1624548602,154,0
1624549502,37,0
1624553102,182,0
1624559402,280,0
1624561202,48,0
1624564802,154,0
1624566602,79,0
1624568402,73,0
1624570202,92,0
1624572002,49,0
1624575602,126,0
1624579202,89,4041
1624581002,57,0
1624586402,250,0
1624591802,194,0
1624593602,57,0
1624595402,71,0
1624597202,39,0
1624599002,114,0
1624602601,137,0
1624606202,165,0
1624612502,326,0
1624619702,374,0
1624626902,479,0
1624627802,45,0
1624630502,189,0
1624634102,224,0
1624638602,196,0
1624645802,350,0
1624649401,171,0
1624656602,289,0
1624661102,181,0
1624664702,132,0
1624667402,95,3782
1624668302,41,0
1624671001,87,0
1624671902,32,0
1624675502,123,0
1624678202,127,0
1624681802,129,0
1624682702,30,0
1624686302,156,0
1624693502,269,0
1624698002,223,0
1624701602,162,0
1624705202,152,0
1624707902,94,0
1624711503,197,0
1624712402,42,0
1624716002,186,0
1624719602,167,0
1624723203,146,0
1624730402,329,0
1624737602,235,0
1624743901,201,0
1624744802,48,0
1624751102,230,0
1624752002,36,4212
1624755602,128,0
1624758302,84,0
1624759202,30,0
1624762802,122,0
1624770003,250,0
1624776302,254,0
1624783502,229,0
1624785302,50,0
1624788902,166,0
1624792501,142,0
1624796101,139,0
1624799702,175,0
1624805102,177,0
1624806902,121,0
1624811402,174,0
1624815002,144,0
1624818602,154,0
1624825802,304,0
1624829402,137,0
1624833002,116,0
1624833901,23,0
1624841102,291,3575
1624848301,400,0
1624851902,178,0
1624859102,372,0
1624862702,170,0
1624866302,198,0
1624869902,212,0
1624873501,179,0
1624880702,363,0
1624885202,409,0
1624888803,310,0
1624891502,179,0
1624892402,44,0
1624896002,180,0
1624899602,218,0
1624902302,127,0
1624903202,40,0
1624909502,336,0
1624917603,318,0
1624921202,128,0
1624924803,152,3150
1624927503,110,0
1624928402,49,0
1624931102,131,0
1624932002,36,0
1624938302,282,0
1624940102,63,0
1624941902,94,0
1624943702,59,0
1624947302,168,0
1624950902,180,0
1624954502,144,0
1624958102,262,0
1624961702,324,0
1624967102,252,0
1624970702,210,0
1624973402,151,0
1624977902,356,0
1624981502,170,1
1624985102,146,0
1624988702,114,0
1624992302,205,0
1624995902,145,0
1625003102,232,0
1625006702,158,0
1625010302,118,0
1625013902,108,4473
1625017502,146,0
1625022002,181,0
1625025603,134,0
1625029202,124,0
1625032802,140,0
1625036402,183,0
1625040002,152,0
1625043602,171,0
1625047202,164,0
1625050802,170,0
1625051702,55,0
1625055302,195,0
1625058902,208,0
1625061602,241,0
1625065202,305,0
1625066102,77,0
1625072402,702,0
1625073302,63,0
1625076903,211,0
1625080502,145,0
1625084102,135,0
1625090402,248,0
1625091302,31,0
1625094002,99,0
1625094902,26,0
1625098502,121,4207
1625103001,164,0
1625104803,58,0
1625106602,61,0
1625110201,143,0
1625113802,108,0
1625117402,172,0
1625124602,309,0
1625130002,218,0
1625131802,88,0
1625133603,88,0
1625136302,117,0
1625139902,176,0
1625140802,33,0
1625143502,142,0
1625144402,39,0
1625148002,163,0
1625150702,128,0
1625157902,335,0
1625165102,258,0
1625166002,34,0
1625168702,143,0
1625173202,173,0
1625175902,75,0
1625176802,60,0
1625184002,228,4473
1625187602,145,0
1625191202,142,0
1625198402,407,0
1625202002,158,0
1625205602,151,0
1625209202,154,0
1625212803,192,0
1625220002,299,0
1625223602,153,0
1625227202,218,0
1625228102,59,0
1625235302,715,0
1625242502,555,0
1625249702,273,0
1625253302,119,0
1625261402,299,0
1625264103,80,0
1625268602,135,0
1625275802,196,3576
1625279402,148,0
1625286602,253,0
1625290202,123,0
1625294702,142,0
1625296502,58,0
1625298302,89,0
1625300102,80,0
1625301902,62,0
1625307302,231,0
1625309102,115,0
1625310902,62,0
1625312702,83,0
1625314502,80,0
1625316302,80,0
1625318102,65,0
1625321702,153,0
1625324402,112,0
1625328003,139,0
1625328902,36,0
1625332502,131,0
1625335203,103,0
1625339702,227,0
1625346902,271,0
1625353202,153,0
1625357702,138,4508
1625361303,134,0
1625364902,94,0
1625368502,95,0
1625372102,113,0
1625375702,102,0
1625379302,98,0
1625382902,99,0
1625390101,253,0
1625393702,117,0
1625400901,278,0
1625405401,208,0
1625408102,123,0
1625409002,49,0
1625412602,147,0
1625418902,257,0
1625419801,32,0
1625422502,148,0
1625423402,28,0
1625426102,122,0
1625429702,128,0
1625433303,133,0
1625435102,60,0
1625440502,164,0
1625442303,83,0
1625447702,173,3354
1625449502,112,0
