DateTime,AddedIPs,RemovedIPs
1515028869,0,1
1515033696,1,0
1515045661,0,1
1515049526,1,0
1515069154,1,2
1515077330,0,2
1515092693,1,0
1515096505,2,1
1515100373,1,1
1515139231,0,1
1515146929,0,1
1515243704,1,0
1515263100,0,1
1515270812,1,0
1515306081,0,2
1515313774,0,1
1515317592,1,1
1515321430,0,1
1515329105,1,1
1515348300,1,1
1515359821,0,1
1515363675,1,0
1515375684,0,1
1515387437,1,0
1515434232,0,1
1515461827,0,2
1515469754,2,0
1515485827,1,0
1515563097,0,1
1515570764,1,0
1515578499,1,0
1515609246,1,1
1515613271,0,1
1515620962,0,1
1515636798,1,0
1515687672,1,0
1515718643,1,1
1515730659,0,1
1515765676,1,1
1515788710,0,1
1515792550,0,1
1515796414,1,1
1515800207,0,1
1515804032,1,0
1515839346,0,1
1515850846,1,0
1515870297,2,0
1515912800,0,1
1515920508,0,1
1515935828,1,1
1515939658,0,1
1515955060,1,1
1515958884,1,1
1515962759,0,1
1515970639,0,1
1515982146,1,0
1516017456,1,0
1516033055,1,1
1516142731,4,4
1516154495,0,1
1516216403,0,1
1516220166,0,1
1516231994,1,1
1516255251,0,1
1516259357,0,1
1516263195,1,0
1516287177,0,1
1516299015,1,3
1516302801,1,0
1516306882,2,0
1516319014,1,0
1516330902,0,1
1516346233,1,1
1516417329,0,1
1516448735,1,1
1516475806,2,120
1516494973,1,0
1516502657,1,0
1516514192,2,0
1516537104,2,0
1516552332,1,0
1516556192,1,0
1516560010,1,0
1516563852,2,0
1516571543,2,0
1516575380,1,0
1516579265,1,0
1516586924,2,0
1516594591,1,0
1516625801,1,0
1516629645,1,0
1516637299,1,0
1516641397,1,0
1516649079,1,0
1516664072,1,0
1516675449,2,0
1516706173,1,0
1516738600,1,0
1516754412,2,0
1516758263,1,0
1516765944,1,0
1516805079,1,0
1516820660,1,0
1516824495,2,0
1516832213,1,0
1516895806,1,0
1516903471,1,0
1516907310,1,0
1516934443,2,0
1516938269,1,0
1516961332,1,0
1516969489,1,0
1516980993,2,0
1516988927,1,0
1516996825,1,0
1517008638,1,0
1517016285,1,0
1517020113,1,0
1517046983,1,0
1517070736,1,0
1517082777,1,0
1517094287,1,0
1517113742,1,0
1517136766,1,0
1517179015,1,0
1517182845,1,0
1517190547,3,0
1517209937,1,0
1517217633,1,0
1517248348,1,0
1517252184,1,0
1517271409,1,0
1517282901,1,0
1517314259,1,0
1517337619,1,0
1517341463,1,0
1517360667,1,0
1517399572,1,0
1517403394,1,0
1517537543,1,0
1517541382,1,0
1517545224,3,0
1517549066,1,0
1517556781,1,0
1517596124,1,0
1517603805,1,0
1517607639,1,0
1517623714,1,0
1517674371,1,0
1517709417,1,0
1517760058,1,0
1517775885,2,0
1517841168,1,0
1517848868,3,0
1517856498,1,0
1517864204,1,0
1517872119,1,0
1517879818,1,0
1517887464,1,0
1517952984,1,0
1517995222,1,0
1518091502,1,0
1518107097,1,0
1518114778,1,0
1518118617,1,0
1518138759,1,0
1518142830,4,0
1518154376,1,0
1518177641,1,0
