DateTime,AddedIPs,RemovedIPs
1520276732,1,0
1520292538,2,0
1520296375,1,0
1520304304,1,0
1520308142,2,0
1520315845,1,0
1520331190,1,0
1520335029,1,0
1520342720,1,0
1520354453,1,0
1520362148,1,0
1520366390,1,0
1520381602,1,0
1520393109,1,0
1520396988,1,0
1520404646,2,0
1520412312,2,0
1520420015,2,0
1520423818,1,0
1520431516,2,0
1520435334,1,0
1520446870,2,0
1520450716,1,0
1520454547,1,0
1520458392,1,0
1520489394,1,0
1520524861,1,0
1520528712,1,0
1520532556,1,0
1520536651,2,0
1520544327,1,0
1520567663,1,0
1520575273,2,0
1520582956,1,0
1520587040,1,0
1520594746,2,0
1520602680,1,0
1520629810,1,0
1520641255,1,0
1520672234,0,1
1520676136,2,0
1520683824,1,0
1520691416,1,0
1520699112,0,2
1520710921,2,1
1520722619,1,1
1520730535,1,2
1520738455,0,1
1520746139,0,1
1520750255,1,2
1520754043,1,0
1520765650,0,1
1520781205,1,0
1520788845,0,1
1520797026,1,1
1520804686,0,2
1520808521,2,0
1520812640,0,1
1520816511,0,1
1520824146,1,0
1520831826,0,2
1520835643,0,1
1520847434,0,1
1520862839,1,0
1520866695,0,1
1520883243,0,2
1520895522,0,1
1520910793,2,1
1520922392,0,1
1520926163,1,1
1520933846,0,1
1520953033,2,1
1520969437,3,0
1520984975,1,1
1520996507,0,2
1523186914,5,110
1523190755,1,0
1523194578,4,0
1523202265,1,0
1523213797,2,0
1523221473,2,0
1523225325,1,0
1523240913,2,0
1523244774,1,0
1523248591,1,0
1523252447,1,0
1523256275,1,0
1523260133,1,0
1523263955,1,0
1523267811,2,0
1523271696,1,0
1523275497,1,0
1523279317,1,0
1523283166,1,0
1523294666,1,0
1523318666,1,0
1523322509,1,0
1523326221,1,0
1523329966,2,0
1523333821,1,0
1523337632,1,0
1523345324,3,0
1523349174,1,0
1523360665,1,0
1523368602,1,0
1523407485,1,0
1523411307,1,0
1523415168,1,0
1523443000,2,0
1523446823,1,0
1523477551,1,0
1523500935,1,0
1523508506,1,0
1523531552,2,0
1523554610,2,0
1523558448,1,0
1523586546,2,0
1523590368,1,0
1523594469,1,0
1523598311,1,0
1523602147,1,0
1523605987,4,0
1523609819,2,0
1523629030,2,0
1523633011,1,0
1523645079,1,0
1523649217,1,0
1523672465,1,0
1523680146,2,0
1523695486,1,0
1523710934,1,0
1523722416,2,0
1523733912,1,0
1523737738,1,0
1523741578,2,0
1523753145,2,0
1523760806,1,0
1523764630,1,0
1523792487,2,0
1523804208,2,0
1523815996,1,0
1523824154,1,0
1523847697,1,0
1523851502,1,0
1523859206,1,0
1523870698,1,0
1523878373,1,0
1523886048,1,0
1523897606,2,0
1523905295,1,0
1523920868,1,0
1523944168,3,0
1523959496,1,0
1523967434,1,0
1523975094,1,0
1523990470,1,0
1524010442,1,0
1524014228,1,0
1524049298,2,0
1524053142,2,0
1524061007,1,0
1524068966,2,0
1524076690,1,0
1524080503,0,0
1524095831,0,0
1524103757,1,0
1524111476,1,0
1524123206,1,0
1524158507,2,1
1524162326,1,0
1524170024,1,0
1526144741,0,0
1527288085,0,0
1527293439,0,0
1531787816,5,130
1531791880,1,0
1531799552,3,0
1531811591,1,0
1531815390,1,0
1531819509,1,0
1531827176,1,0
1531831026,1,0
1531834834,1,0
1531854276,1,0
1531858371,1,0
1531885232,1,0
1531892922,2,0
1531904465,1,0
1531912123,2,0
1531915966,1,0
1531923628,1,0
1531927478,2,0
1531931325,1,0
1531943074,1,0
1531969968,1,0
1531973802,1,0
1531977888,1,0
1531981769,1,0
1531985573,4,0
1531993495,1,0
1532016562,1,0
1532032142,2,0
1532043885,1,0
1532051806,1,0
1532059531,3,0
1532071272,1,0
1532075089,1,0
1532101993,1,0
1532105790,1,0
1532109644,1,0
1532159810,1,0
1532163893,1,0
1532167715,1,0
1532186949,1,0
1532198452,1,0
1532202301,1,0
1532206362,1,0
1532217887,2,0
1532229400,1,0
1532233247,1,0
1532240917,1,0
1532244759,1,0
1532252434,2,0
1532287258,1,0
1532356131,4,0
1532360002,1,0
1532363818,1,0
1532367630,1,0
1532371505,1,0
1532425758,1,0
1532441392,1,0
1532445211,1,0
1532460781,1,0
1532464515,1,0
1532483851,1,0
1532499488,1,0
1532507097,1,0
1532510972,1,0
1532514813,1,0
1532526309,1,0
1532534261,3,0
1532545546,2,0
1532553242,0,1
1532557034,0,2
1532580068,0,1
1532583930,0,1
1532591625,1,0
1532599548,0,2
1532618995,0,7
1532630770,0,2
1532634569,3,1
1532646327,1,1
1532650164,0,1
1532657885,1,0
1532669349,1,0
1532677045,0,1
1532680920,2,3
1532688829,0,4
1532715672,2,0
1532719568,2,0
1532731471,1,0
1532735356,1,2
1532743087,0,1
1532746895,1,1
1532754559,1,0
1532762231,1,1
1532766053,1,2
1532769966,0,5
1532777841,1,0
1532781674,1,0
1532793190,0,2
1532816239,1,0
1532820049,1,1
1532843132,0,4
1532854628,1,1
1532866117,2,66
1532869953,2,0
1532881465,1,0
1532885297,2,0
1532892995,2,0
1532896830,2,0
1532900686,1,0
1532908635,1,0
1532924233,1,0
1532928073,1,0
1532931883,1,0
1532943416,1,0
1532947294,1,0
1532966505,1,0
1532977999,3,0
1532982915,2,0
1532990442,1,0
1532994304,2,0
1533005837,1,0
1533021205,4,0
1533025038,1,0
1533036542,1,0
1533040391,1,0
1533052178,2,0
1533071355,1,0
1533075227,1,0
1533086715,1,0
1533113572,1,0
1533125334,1,0
1533133029,1,0
1533148603,1,0
1533152449,2,0
1533167852,1,0
1533190880,2,0
1533206274,1,0
1533217754,1,0
1533237241,2,0
1533241026,3,0
1533260943,1,0
1533276370,2,0
1533280186,1,0
1533287873,1,0
1533303452,1,0
1533311136,1,0
1533338468,1,0
1533353840,1,0
1533361484,1,0
1533400400,1,2
1533404224,0,1
1533431728,1,1
1533443361,0,1
1533454886,1,0
1533470590,2,0
1533482240,2,1
1533485934,1,0
1533489910,1,0
1533497584,1,0
1533501477,1,0
1533505314,1,0
1533520625,1,1
