DateTime,AddedIPs,RemovedIPs
1509799483,4,0
1509803333,3,0
1509807179,1,0
1509818687,1,0
1509822540,1,0
1509826377,2,0
1509830215,1,0
1509872502,1,0
1509887840,1,0
1509891714,3,0
1509895956,2,0
1509899820,2,0
1509903641,1,0
1509907468,3,0
1509911365,3,0
1509915186,3,0
1509919001,2,0
1509926683,3,0
1509953836,2,0
1509965337,1,0
1509969177,1,0
1509996551,1,0
1510066368,2,0
1510070198,1,0
1510132615,1,0
1510136446,2,0
1510140275,2,0
1510151825,1,0
1510175111,1,0
1510256484,1,0
1510341181,1,0
1510441493,1,0
1510561750,1,0
1510774625,2,0
1510863461,1,0
1510948281,1,0
1510975120,1,0
1511196362,1,0
1511204054,1,0
1511207891,1,0
1511332170,2,0
1511382087,1,0
1511465373,1,0
1511476873,1,0
1511646171,1,0
1511821275,1,0
1511990556,1,0
1512137538,1,0
1512311228,1,0
1512334680,1,0
1512354057,0,207
1512369417,1,0
1512499738,1,0
1512565493,1,0
1512589033,1,0
1512602893,1,0
1512673059,1,0
1512696561,1,0
1512762541,1,0
1512843922,1,0
1512859537,1,0
1512863366,1,0
1512871051,1,0
1512937071,1,0
1513192239,4,0
1513262108,1,0
1513281516,2,0
1513382753,1,0
1513510623,1,0
1513537874,2,0
1513626389,1,0
1513691929,1,0
1513770191,2,0
1513887551,2,0
1514077112,1,0
1514146775,1,0
1514174782,1,0
1514233832,1,0
1514299639,1,0
1514303411,1,0
1514318643,3,0
1514365139,1,0
1514405745,2,0
1514541872,1,0
1514568980,2,0
1514572731,4,0
1514576451,1,0
1514607743,1,0
1514666157,3,0
1514751064,2,0
1514837468,1,0
1514920395,2,0
1514951864,1,0
1514963377,1,0
1515006285,3,0
1515010167,1,0
1515268941,3,0
1515354087,1,0
1515357924,1,0
1515423474,1,0
1515439329,2,0
1515443160,1,0
1515616212,1,0
1515706519,3,0
1515875110,1,0
1515879002,1,0
1515886482,1,0
1515905914,10,0
1515913714,2,0
1515917630,6,0
1515921435,2,0
1515925370,3,0
1515936916,1,0
1515940678,2,0
1515944465,2,0
1515948289,1,0
1515960001,1,0
1515971634,1,0
1515983499,2,0
1515987347,4,0
1515991181,4,0
1515994939,1,0
1515999122,3,0
1516006793,3,0
1516034072,14,0
1516037988,1,0
1516041831,2,0
1516170748,18,0
1516182707,7,3
1516190793,8,1
1516214070,1,0
1516225616,0,1
1516260896,0,1
1516264700,0,1
1516308392,1,1
1516390956,2,0
1516410673,2,0
1516445716,0,1
1516453615,0,2
1516464983,0,173
1516472919,1,0
