DateTime,AddedIPs,RemovedIPs
1655546651,101,0
1655576409,88,0
1655605950,105,0
1655635447,30,0
1655664755,16,0
1655694016,43,0
1655723312,41,1
1655752810,51,1
1655782565,49,0
1655812358,26,1
1655841609,85,1
1655871156,1418,1
1655900890,52,0
1655930195,44,2
1655959446,26,1
1655981767,17,1
1656011288,19,0
1656040570,549,0
1656078037,31,0
1656107288,45,1
1656136824,47,0
1656151449,14,0
1656181206,27,0
1656210488,30,0
1656239765,23,0
1656269049,41,0
1656306048,29,0
1656335284,11,1
1656357604,31,0
1656386916,40,2
1656416408,25,2
1656445712,33,2
1656475221,130,3
1656504489,36,0
1656533794,64,1
1656563307,152,0
1656600274,24,0
1656614888,30,0
1656658846,18,0
1656673688,12,1
1656702963,17,1
1656732277,64,0
1656761524,22,0
1656790806,22,0
1656820355,29,1
1656849644,12,0
1656886569,28,0
1656916120,31,1
1656930969,19,1
1656960250,26,0
1657004517,35,0
1657019047,46,0
1657056004,61,0
1657085316,50,2
1657114569,49,0
1657143847,50,0
1657173128,27,0
1657202650,12,0
1657232164,107,0
1657261446,454,0
1657290725,117,0
1657320245,151,0
1657349798,302,0
1657379288,94,0
1657393929,9,0
1657438115,9,0
1657452753,8,0
1657489452,28,0
1657518963,54,0
1657548486,96,0
1657578005,122,0
1657592646,2,36633
1657607287,1,2
1657621925,1,1
1657636566,2,2
1657651234,3,0
1657665849,0,3
1657680488,0,4
1657695366,1,2
1657725130,6,0
1657739806,6,1
1657754406,2,8
1657776511,0,1
1657791123,1,1
1657813232,1,8
1657827873,1,0
1657842488,0,1
1657857156,1,0
1657871766,1,0
1657886432,0,2
1657908725,4,0
1657923373,2,0
1657938253,3,1
1657953127,0,2
1657967793,0,1
1657982437,6,0
1657997290,1,0
1658011924,2,2
1658026570,1,4
1658041211,1,0
1658055876,4,0
1658070489,0,5
1658085132,2,1
1658099765,1,1
1658114405,1,0
1658136522,1,4
1658151152,4,2
1658165765,0,1
1658180409,2,1
1658209685,1,3
1658238965,2,4
1658268247,0,2
1658282890,2,0
1658297527,1,2
1658319848,2,2
1658334519,37774,0
1658363795,31,0
1658393046,81,0
1658422325,74,4
1658452092,55,0
1658481371,80,0
1658518568,136,0
1658547845,146,0
1658577155,95,0
1658591765,46,0
1658621046,33,0
1658650836,34,0
1658680109,29,0
1658709630,28,0
1658738884,13,0
1658768166,12,0
1658797688,14,1
1658826989,13,0
1658856248,10,0
1658885548,25,0
1658914809,22,0
1658944084,22,1
1658973610,18,1
1659002885,13,1
1659032188,17,1
1659061686,62,0
1659091233,101,0
1659120486,34,2
1659149788,93,0
1659179050,30,0
1659201130,19,0
1659230405,31,0
1659259687,23,0
1659288968,46,0
1659318484,43,0
1659347768,48,0
1659384746,22,0
1659414030,45,0
1659443529,23,0
1659473050,22,1
1659495148,48,0
1659524411,48,1
1659553926,24,0
1659583227,18,1
1659612513,23,1
1659641770,29,0
1659671528,67,0
1659700836,19,1
1659730351,43,0
1659759869,95,0
1659789392,36,0
1659818645,32,0
1659848171,65,0
1659877689,38,0
1659892354,33,0
1659921846,33,0
1659951368,35,0
1659980646,16,0
1660009925,15,3
1660039337,9,1
1660068747,14,0
1660098250,67,0
1660127786,18,0
1660157049,20,3
1660186327,28,1
1660223054,12,1
1660237686,27,0
1660266967,30,2
1660303687,8,1
1660332966,20,0
1660415527,62,0
1660467612,23,0
1660482251,13,0
1660504594,8,2
1660533844,18,0
1660563153,6,0
1660592672,13,0
1660621929,59,0
1660651449,14,0
1660673852,50,0
1660740753,119,0
1660770028,31,0
1660799308,25,0
1660828565,8,0
1660857872,11,1
1660887124,16,0
1660916430,17,0
1660945714,36,0
1660975215,25,9
1661004743,14,0
1661034273,20,0
1661063554,14,0
1661092805,21,0
1661122086,18,0
1661151388,18,0
1661180670,8,0
1661210170,28,0
1661224831,323,0
1661254108,12,0
1661283629,14,0
1661312906,35,0
1661357047,15,0
1661371930,20,0
1661401454,14,0
1661430725,13,0
1661460032,20,0
1661489793,16,0
1661519075,15,0
1661548348,21,0
1661577628,15,1
1661607128,5,0
1661636433,16,0
1661665933,46,0
1661695237,21,0
1661724724,28,0
1661754272,37,0
1661783767,21,0
1661813047,26,0
1661842566,21,0
1661872113,24,2
1661901368,32,0
1661930646,206,1
1661959948,203,0
1661989445,193,0
1662004325,220,0
1662048245,122,1
1662063124,199,0
1662092437,188,0
1662121949,170,0
1662151243,166,0
1662180758,156,0
1662217927,143,0
1662247245,150,0
1662276488,161,0
1662306008,145,0
1662335286,133,0
1662349926,122,0
1662379249,128,1
1662408516,137,0
1662438037,226,0
1662467559,223,1
1662497076,171,1
1662526329,162,0
1662555880,140,0
1662585157,137,2
1662614680,151,0
1662644442,129,0
1662673928,90,0
1662703224,126,0
1662732757,116,0
1662762047,128,1
1662791286,124,0
1662820603,139,0
1662850327,92,0
1662879612,132,0
1662908924,110,0
1662938404,114,0
1662967687,105,0
1662997206,77,0
1663028579,88,1
1663058674,141,0
1663074031,97,1
1663118661,90,2
1663133667,110,0
1663163767,32,0
1663193530,19,0
1663223889,13,0
1663254061,17,1
1663283497,41,1
1663312888,54,1
1663342367,54,0
1663371848,118,2
1663401127,96,1
1663430687,116,0
1663460200,98,0
1663489446,95,0
1663518758,75,0
1663548041,94,0
1663562680,79,0
1663606854,63,0
1663621964,87,1
1663651205,161,0
1663680761,120,0
1663710047,88,0
1663739290,86,2
1663768811,88,1
1663798358,79,0
1663827878,159,1
1663857364,127,0
1663886890,149,0
1663916168,121,1
1663945962,156,0
1663975242,363,1
1664004765,331,0
1664034045,271,0
1664063530,375,0
1664092843,304,0
1664122125,273,0
1664151606,281,0
1664181169,270,0
1664210408,254,1
1664239718,289,0
1664254359,267,1
1664283853,277,0
1664327765,265,0
1664342681,526,0
1664371962,346,1
1664401480,513,1
1664430767,323,0
1664460022,199,0
1664489567,159,0
1664518940,142,0
1664548357,238,0
1664577641,186,0
1664606915,351,0
1664636455,261,0
1664665928,312,0
1664695448,225,1
1664724969,286,1
1664754147,256,0
1664783527,74,0
1664813049,59,0
1664842704,84,1
1664872086,98,0
1664901409,121,0
1664931128,137,2
1664960681,108,0
1664989963,101,0
1665019484,49,3
1665048732,121,0
1665078249,165,0
1665093168,196,0
1665122468,189,0
1665151965,165,2
1665181209,225,0
1665210490,171,0
1665239805,136,0
1665269287,163,0
1665298603,127,0
1665327885,133,0
1665357133,189,0
1665386406,159,0
1665415967,142,0
1665445245,159,1
1665474728,49,0
1665504046,21,0
1665533561,118,0
1665563049,37,0
1665592603,69,0
1665621885,123,0
1665651127,79,0
1665680413,96,0
1665709691,30,1
1665739207,16,0
1665768767,22,0
1665798248,32,0
1665827525,36,0
1665842411,21,0
1665886601,44,0
1665901253,46,0
1665945367,54,0
1665960043,21,0
1665989288,77,0
1666018566,82,0
1666048366,76,0
1666077608,100,0
1666107160,102,1
1666136647,93,1
1666165965,84,0
1666195447,85,1
1666224966,53,1
1666254286,94,0
1666283811,101,0
1666313285,26,0
1666342569,87,0
1666371888,86,0
1666401164,84,0
1666430689,94,1
1666459961,66,0
1666489207,96,0
1666518773,138,0
1666548063,70,0
1666577562,92,0
1666606844,72,0
1666636373,88,0
1666651012,143,0
1666694887,118,0
1666724454,104,0
1666739085,154,0
1666768373,168,0
1666797606,102,0
1666826933,145,0
1666856169,109,0
1666885449,106,0
1666915008,68,1
1666944520,113,0
1666974042,86,1
1667003287,137,3
1667048199,91,2
1667077483,157,0
1667107211,150,0
1667151369,145,1
1667166281,157,0
1667195764,105,0
1667225524,128,2
1667255053,364,1
1667284615,105,0
1667313884,84,0
1667343408,201,1
1667373168,298,0
1667402404,137,0
1667431961,110,0
1667461256,139,0
1667490725,158,0
1667520068,148,0
1667549563,103,0
1667578840,90,0
1667608366,147,0
1667637881,135,0
1667667674,116,0
1667697129,94,0
1667726462,121,0
1667755932,112,0
1667770843,121,0
1667814767,116,0
1667829403,109,0
1667858685,170,1
1667888405,81,0
1667917686,112,0
1667946964,102,0
1667976729,82,0
1668006250,113,0
1668035721,72,0
1668065573,56,0
1668094805,46,0
1668124090,49,0
1668153618,47,0
1668182887,64,1
1668212170,81,0
1668241685,92,0
1668271211,92,0
1668300732,98,0
1668330045,65,0
1668359563,75,0
1668388804,59,0
1668418369,61,0
1668447845,76,0
1668477410,64,0
1668506647,72,0
1668535972,79,0
1668565240,92,0
1668594491,75,1
1668609130,72,0
1668653052,96,0
1668682325,95,0
1668711639,62,0
1668726248,40,0
1668755767,73,1
1668785290,63,1
1668814805,176,0
1668844121,258,0
1668873371,110,0
1668902678,214,0
1668932404,196,1
1668961967,181,0
1668991485,157,0
1669020995,154,0
1669050278,122,0
1669079769,188,0
1669109285,132,0
1669138570,153,0
1669168331,179,2
1669197882,130,0
1669227133,173,0
1669256409,103,0
1669285957,99,0
1669315451,16,0
1669330330,54,1
1669374252,44,0
1669389126,49,0
1669433528,65,0
1669448169,133,0
1669477475,116,0
1669506761,108,0
1669536022,116,0
