DateTime,AddedIPs,RemovedIPs
1662471181,2,1
1662474783,1,1
1662481981,1,0
1662485581,1,1
1662489181,0,1
1662492781,3,0
1662496381,0,1
1662499981,4,0
1662503581,0,2
1662507181,1,1
1662510781,0,3
1662517981,1,0
1662521581,2,2
1662525181,2,1
1662528781,3,1
1662532381,0,1
1662539582,0,2
1662543181,2,0
1662546781,1,1
1662550381,1,2
1662553981,0,1
1662557581,4,1
1662564781,2,2
1662571981,1,0
1662579182,0,2
1662582781,0,1
1662589981,0,3
1662600784,0,1
1662607982,1,0
1662615181,1,2
1662622384,2,0
1662625981,1,0
1662629583,0,1
1662633183,1,1
1662636781,1,0
1662640381,0,2
1662643985,0,5
1662647583,0,1
1662651182,1,0
1662654781,1,1
1662658382,1,2
1662661981,2,0
1662669181,1,1
1662672782,2,0
1662676383,2,0
1662679982,2,2
1662697981,0,2
1662705183,2,1
1662708781,1,2
1662712382,1,0
1662715984,1,0
1662723182,0,2
1662730382,1,0
1662733982,1,0
1662737582,0,1
1662741181,2,0
1662744783,2,1
1662748381,1,1
1662751983,0,3
1662755581,0,1
1662759183,1,3
1662762782,0,3
1662766384,3,0
1662769984,2,1
1662773581,1,0
1662777181,1,2
1662780781,0,1
1662784381,1,0
1662787981,1,2
1662791582,3,1
1662795182,3,0
1662798782,1,1
1662805981,0,5
1662809581,4,0
1662813181,3,1
1662820382,0,2
1662823981,2,0
1662827581,0,2
1662831181,2,0
1662834781,1,1
1662838381,0,1
1662841981,0,1
1662849182,1,1
1662852781,0,1
1662856381,2,2
1662859984,1,1
1662863581,0,2
1662867181,1,1
1662870782,1,1
1662877984,0,4
1662881581,2,0
1662885183,0,1
1662888784,0,4
1662892382,3,0
1662895984,2,2
1662899581,2,0
1662903181,1,3
1662910381,0,1
1662913981,1,1
1662917581,2,1
1662923490,1,1
1662927096,1,0
1662930725,0,1
1662934295,0,1
1662937904,1,1
1662941498,2,1
1662945097,0,1
1662949025,2,2
1662956224,2,2
1662959826,2,0
1662963426,1,1
1662967025,2,0
1662970628,1,1
1662974227,0,1
1662977826,1,0
1662981427,0,2
1662986824,1,1
1662990427,0,1
1662994027,1,0
1663004827,1,2
1663012033,1,1
1663015631,3,1
1663019234,1,1
1663022829,1,0
1663026429,0,1
1663030029,2,1
1663033630,0,1
1663037226,1,0
1663042306,1,1
1663045907,0,2
1663049826,3,5
1663053429,1,0
1663060627,2,1
1663064227,1,0
1663067829,1,1
1663071427,1,1
1663075981,2,0
1663080112,1,0
1663084028,1,3
1663091231,1,0
1663094830,1,2
1663098438,0,2
1663102030,3,1
1663105629,1,1
1663112829,0,3
1663116433,1,1
1663120033,1,1
1663123631,2,1
1663127233,1,0
1663130829,0,1
1663138035,3,1
1663141636,3,3
1663145236,4,0
1663148833,4,2
1663156035,2,1
1663163234,1,1
1663166837,1,0
1663174032,2,0
1663181237,1,0
1663192034,2,1
1663195634,1,0
1663202846,2,1
1663206434,1,1
1663210042,0,2
1663217237,1,0
1663224441,1,3
1663228036,1,0
1663231642,0,2
1663235243,1,0
1663238837,0,2
1663246036,1,0
1663249646,0,4
1663253238,1,3
1663260439,1,0
1663264038,1,2
1663267640,1,0
1663274845,1,0
1663278439,1,1
1663282047,0,3
1663285640,1,1
1663289240,0,5
1663292841,1,0
1663296439,1,0
1663303640,0,2
1663307243,1,1
1663310839,0,2
1663314442,0,4
1663321645,1,1
1663325246,1,0
1663328841,1,1
1663332442,1,2
1663336045,1,0
1663339643,1,0
1663343245,0,3
1663346844,1,0
1663350442,1,0
1663354041,2,1
1663357648,1,0
1663361243,0,2
1663364846,2,0
1663368445,1,1
1663372043,2,1
