DateTime,AddedIPs,RemovedIPs
1484914332,0,12
1485518884,1,0
1485519122,0,10
1486728483,1,0
1486728725,0,16
1487333286,1,0
1487333522,0,18
1487938083,0,2
1488542884,0,2
1489147442,1,0
1489147684,0,14
1489752485,1,0
1489752723,0,5
1490357285,0,180
1490958482,0,7
1491563527,0,7
1492167850,1,0
1492168586,0,17
1492772412,1,0
1492772884,0,7
1493377205,1,0
1493377685,0,1
1494017283,0,8
1494586830,1,0
1494587284,0,2
1495191613,1,0
1495192084,0,2
1495796410,1,0
1495796883,0,4
1496401202,1,0
1496401683,0,7
1497006018,1,0
1497006484,0,16
1497644883,0,3
1498215604,1,0
1498216083,0,13
1498820412,1,0
1498820883,0,25
1499425211,1,0
1499425684,0,4
1500030016,1,0
1500030484,0,13
1500634801,1,0
1500635523,0,4
1501239611,1,0
1501240084,0,7
1501844415,1,0
1501844885,0,15
1502449205,1,0
1502449686,0,1
1503054243,1,0
1503054722,0,21
1503658802,1,0
1503659524,0,52
1504263609,1,0
1504264085,0,5
1504868415,1,0
1504868884,0,27
1505512563,0,17
1506124323,0,2
1506682810,1,0
1506683524,0,8
1507287608,1,0
1507288085,0,23
1507892410,1,0
1507892885,0,14
1508497212,1,0
1508497684,0,12
1509102002,1,0
1509103203,0,3
1509710645,1,0
1509710882,0,26
1510355526,0,6
1510920010,1,0
1510920483,0,4
1511568244,0,27
1512129604,1,0
1512130084,0,38
1512734412,1,0
1512735125,0,1
1513195686,0,6
1513944005,1,0
1513944723,0,4
1514548810,1,0
1514549284,0,3
1515153611,1,0
1515154083,0,3
1515491523,0,2
1515758647,1,0
1515758882,0,1
1516363211,1,0
1516363684,0,4
1516968244,1,0
1516968490,0,3
1517572810,1,0
1517573525,0,8
1518177610,1,0
1518178086,0,1
1518782643,1,0
1518783363,0,6
1519308242,0,2
1519387207,1,0
1519387685,0,91
1519992488,0,5
1520596818,1,0
1520597286,0,5
1521242883,0,5
1521414021,0,3
1521806411,1,0
1521806884,0,2
1521827522,0,4
